"","rev","Freq"
"1","감독",1736
"2","코엘류",1156
"3","대표팀",785
"4","경기",539
"5","선수",464
"6","월드컵",367
"7","공격",364
"8","한국축구",316
"9","축구",314
"10","움베르투",307
"11","훈련",292
"12","수비",276
"13","들이",258
"14","안정",251
"15","한국은",212
"16","평가",202
"17","득점",182
"18","소집",182
"19","리그",181
"20","승리",175
"21","플레이",175
"22","상대",163
"23","때문",155
"24","으로",153
"25","아시안",152
"26","국가대표팀",141
"27","기록",139
"28","생각",136
"29","지난해",136
"30","전술",134
"31","해외",133
"32","기술",128
"33","출전",123
"34","예선",122
"35","문제",121
"36","자신",120
"37","하기",119
"38","축구협회",113
"39","예정",112
"40","시간",111
"41","전사",107
"42","대한축구협회",106
"43","유상",103
"44","올림픽대표",101
"45","프로축구",101
"46","태극",100
"47","라인",97
"48","수원",97
"49","올림픽",97
"50","부상",96
"51","패스",96
"52","기회",90
"53","박지",90
"54","경기장",89
"55","며",88
"56","조병",88
"57","코엘류호",88
"58","조직력",87
"59","패배",87
"60","합류",87
"61","멤버",85
"62","필요",85
"63","히딩크",85
"64","각오",84
"65","강",84
"66","모습",84
"67",".",82
"68","자리",81
"69","코치",81
"70","투입",81
"71","결정",80
"72","대비",80
"73","시스템",80
"74","수비수",79
"75","스트라이커",78
"76","가능성",77
"77","예상",76
"78","우리",75
"79","전력",75
"80","실시",74
"81","시작",73
"82","지적",73
"83","제외",71
"84","계획",70
"85","이번",70
"86","김도훈은",68
"87","일본의",68
"88","최종",68
"89","A매치",67
"90","선발",67
"91","한국과",67
"92","한국의",67
"93","골을",66
"94","기량",65
"95","승부",65
"96","오만",65
"97","활약",65
"98","미드필더",64
"99","지난달",64
"100","차례",64
"101","차예선",64
"102","컨디션",64
"103","정도",63
"104","이동",62
"105","중요",61
"106","찬스",61
"107","포함",61
"108","전망",60
"109","체력",60
"110","최전방",60
"111","김호",59
"112","친선경기",59
"113","부족",58
"114","우성",58
"115","가운데",57
"116","골문",57
"117","기용",57
"118","관심",56
"119","대표",56
"120","상황",56
"121","오른쪽",56
"122","한국팀",56
"123","기대",55
"124","미드필더로",55
"125","부재",55
"126","아시아지역",55
"127","능력",54
"128","분석",54
"129","위원회",54
"130","준비",54
"131","협회",54
"132","구성",53
"133","발탁",53
"134","발표",52
"135","우승",52
"136","무승부",51
"137","상태",51
"138","스리",51
"139","스피드",51
"140","연결",51
"141","연습",51
"142","위원장",51
"143","일본에",51
"144","참가",51
"145","한국대표팀",51
"146","결승골",50
"147","명단",50
"148","소속",50
"149","후반",50
"150","분위기",49
"151","일정",49
"152","측면",48
"153","포르투갈",48
"154","━━━━━",47
"155","구단",47
"156","무대",47
"157","사령탑",47
"158","슈팅",47
"159","프로",47
"160","결과",46
"161","골키퍼",46
"162","국은",46
"163","독일월드컵",46
"164","브라",46
"165","입국",46
"166","조재진",46
"167","진출",46
"168","한일월드컵",46
"169","관계자",45
"170","킬러",45
"171","한국이",45
"172","본선",44
"173","부산",44
"174","성공",44
"175","점검",44
"176","경쟁",43
"177","그라운드",43
"178","미드필드",43
"179","서울월드컵경기장에서",43
"180","입장",43
"181","표정",43
"182","감각",42
"183","엔트리",42
"184","전반",42
"185","최성국",42
"186","골결정력",41
"187","대전",41
"188","압박",41
"189","자신감",41
"190","전략",41
"191","차출",41
"192","처음",41
"193","대회",40
"194","마음",40
"195","부분",40
"196","이용",40
"197","코엘류는",40
"198","판단",40
"199","허용",40
"200","가동",39
"201","경질",39
"202","그동안",39
"203","논의",39
"204","다음달",39
"205","대결",39
"206","메이커",39
"207","무엇",39
"208","성적",39
"209","역할",39
"210","원정경기",39
"211","포진",39
"212","강화",38
"213","개인",38
"214","교체",38
"215","네덜란드",38
"216","베트남",38
"217","베트남과",38
"218","소화",38
"219","정신력",38
"220","콜롬비아와",38
"221","확정",38
"222","날개",37
"223","돌입",37
"224","돌파",37
"225","부진",37
"226","사실",37
"227","유니폼",37
"228","중앙",37
"229","최성국은",37
"230","출격",37
"231","김도훈",36
"232","마지막",36
"233","원톱으로",36
"234","이을용",36
"235","국내파",35
"236","다음",35
"237","대구",35
"238","만족",35
"239","목표",35
"240","박성화",35
"241","변화",35
"242","적응",35
"243","책임",35
"244","트릭",35
"245","강조",34
"246","개막전",34
"247","경험",34
"248","국제축구연맹(FIFA)",34
"249","마무리",34
"250","몰디브와",34
"251","아시아",34
"252","이영표",34
"253","청소년대표",34
"254","최선",34
"255","카드",34
"256","기자회견",33
"257","비롯",33
"258","예선전",33
"259","요청",33
"260","이유",33
"261","집중",33
"262","트레이닝센터",33
"263","가능",32
"264","과시",32
"265","관전",32
"266","데뷔전",32
"267","복귀",32
"268","시도",32
"269","올시즌",32
"270","운영",32
"271","위원",32
"272","의미",32
"273","좌우",32
"274","주목",32
"275","충격",32
"276","현대",32
"277","호흡",32
"278","회복",32
"279","국가대표",31
"280","본격",31
"281","불구",31
"282","사이드",31
"283","설기현",31
"284","설명",31
"285","세계",31
"286","수비진",31
"287","의지",31
"288","적극",31
"289","전환",31
"290","최용수(이치하라)",31
"291","출장",31
"292","구사",30
"293","랭킹",30
"294","르투",30
"295","발휘",30
"296","설기현(안더레흐트)",30
"297","스포츠",30
"298","연속",30
"299","인터뷰",30
"300","주력",30
"301","하나",30
"302","개월",29
"303","김진국",29
"304","머리",29
"305","비교",29
"306","실력",29
"307","안정환(시미즈)",29
"308","연패",29
"309","월일",29
"310","의견",29
