2015년 국적별 매출액,,,,,,,,,,,,
국적,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
내국인,"35,392,832,850","34,395,836,910","36,034,486,770","39,197,604,080","42,238,768,240","35,960,358,870","39,143,566,350","50,171,239,730","39,992,709,390",43764207520,43141366750,0
일본인,"10,673,060","12,731,110","17,083,850","16,169,400","28,287,080","9,776,890","16,810,480","19,886,250","27,735,610",26282740,27749730,0
중국인,"331,792,220","641,784,530","608,521,250","975,245,060","993,498,080","448,357,082","287,794,050","660,003,520","744,604,420",1068794230,587143570,0
기타,"76,423,940","83,354,450","123,820,460","203,065,400","192,243,780","126,484,244","100,316,950","118,456,600","191,665,450",269194390,224335410,0
대만,"12,366,240","21,319,000","19,983,200","22,479,050","21,221,130","20,850,116","17,972,610","19,807,870","26,035,510",19264440,17838140,0
미국인,"41,937,280","48,784,800","81,072,410","95,407,530","107,140,810","95,493,572","102,824,490","75,380,720","114,048,020",160315310,110663940,0
러시아인,"2,563,670","2,604,130","2,557,240","6,530,900","6,345,440","6,051,430","6,564,200","9,184,340","5,716,700",5964820,3706750,0
태국인,"1,489,100","1,204,620","2,055,410","6,008,020","3,131,770","5,192,240","1,212,680","1,172,040","1,232,400",3314960,1902810,0
홍콩인,"2,939,680","3,731,650","14,338,410","17,429,480","13,689,480","7,005,990","1,643,240","2,404,840","8,365,510",16541400,9722830,0
필리핀인,"2,418,960","1,551,060","1,597,450","5,924,470","3,183,210","3,198,630","2,253,340","3,247,340","5,245,100",1782080,3750440,0
해외교포,"19,894,640","15,342,660","27,161,320","26,757,630","29,906,290","23,986,180","22,410,060","21,902,500","7,136,170",0,0,0
합계,"35,895,331,640","35,228,244,920","36,932,677,770","40,572,621,020","43,637,415,310","36,706,755,244","39,703,368,450","51,102,685,750","41,124,494,280","45,335,661,890","44,128,180,370",0
