통계분류(1),통계분류(2),사례수,향수 화장품,의류,식료품,신발류,피혁제품,인삼 한약재,김치,액세서리 보석류,전통민예품 칠기 목각제품,전자 전기제품,술,시계,담배,서적 잡지 문구류,음반 DVD,스타관련상품,인형 장난감 게임기,실크 섬유류,자기 도자기,기 타,없다
전체,소계,12882,61.4,41.4,38,14.6,10.1,11.6,7.8,7.5,5.6,5,5,4.4,6.8,2.7,2.6,2.7,3.3,2.4,1.6,0.8,5.2
월별,1월,922,61.2,44.3,37,12,11.5,10,8.3,6.7,3.8,5.6,5.7,3.8,4.2,2.8,1.5,1,2.6,2.7,1.1,0.5,7.1
월별,2월,1061,67.2,47.6,40.3,13.4,10.7,10.7,6.6,7.2,4.7,5.5,3.6,2.6,4.2,3.2,1.3,1.8,1.6,1.5,0.9,0.9,4.5
월별,3월,1238,60.1,46.6,35.6,15.4,11.8,9.7,8.1,7.3,5.7,4.6,4.2,5.5,2.9,1.9,3,2.9,2.9,2.4,1.5,1.2,5.6
월별,4월,1363,67,39.9,31.6,17.2,13.2,11.1,10.6,7.1,6.3,4,2.4,4.4,4.7,1.1,2.3,2.3,3.9,4,1,0.5,5.2
월별,5월,1314,65,43.5,42,16.7,9.5,14.6,7.4,7.4,4.8,3.5,4.5,4.4,7.5,2.4,2.2,2.6,2.1,1.6,1.8,0.9,4.8
월별,6월,676,57.6,48.4,32.4,15.8,5.4,7.3,4.8,7.6,7,8.3,6.8,4.2,6,3.3,3.5,2.9,3.6,3,1.9,1.1,7
월별,7월,584,54.8,38.8,31.4,15.5,12.5,6.5,5.6,9.2,7.5,7.9,8.4,2.7,8.8,4,3.3,3.2,3.7,3,2.9,0.6,6.3
월별,8월,1001,60.5,38.6,41,12.8,8.4,10.8,6.8,7.2,5.9,4.8,6.2,5.7,9.7,4,4.9,5,4.3,1.7,1.2,0.9,6.5
월별,9월,1153,61.4,34,40,12.7,7.8,13.2,8.1,7.4,6.3,4.6,6.7,5.4,9.2,2.4,3.2,1.7,3.3,2.4,2.5,0.5,4.2
월별,10월,1333,58.3,37.2,44.2,12.2,9.5,15,8.4,7.7,5.9,5.2,4.7,3.4,8,2.8,2,3.8,3.9,1.2,1.7,0.4,5.3
월별,11월,1128,57.8,38.1,39.8,15,9.2,13.2,7.9,6.9,5.2,5.6,4.8,4.8,8.9,3.3,2.5,2.5,4.2,3.2,1.3,2.2,4.2
월별,12월,1109,60.1,42.3,35.7,16.1,10.3,11.7,8.6,8.7,5.5,4.3,5.5,5,8.3,2.6,2.7,3.2,3.3,2.3,2.6,0.3,3.2
거주국,일본,2007,42.9,33.4,67.3,8.3,5.5,3.6,6.8,4.4,5.1,1.5,6.2,2.4,6.1,3.3,5.1,2.8,1.8,0.8,1.8,0.9,9.8
거주국,중국,6092,85.4,39,35.1,12.9,14.9,14.6,6.5,7.1,2.2,5.3,2.9,6.2,10.2,1.1,1.7,2.3,2.7,1.6,0.5,0.8,0.7
거주국,홍콩,574,60.6,60.1,40.1,23.4,7.9,14.9,11,7.1,3.2,2.3,2.4,1.4,2,2.6,3,3,1.6,3.4,1.5,0.4,1.7
거주국,싱가포르,164,52.2,53.7,29.2,20.6,7.8,10.8,11.2,13.3,7.6,2.1,2.6,0.7,0.4,2.8,1.9,6.1,3.1,2.7,0.9,0,7.9
거주국,대만,568,60.7,51.3,52.1,18.5,9.4,18.6,18.2,4.6,1.7,1.5,2.7,3.5,3,2,2.1,3.4,1.2,2.4,0.9,0.4,0.8
거주국,태국,359,59.8,48.3,27.5,29.1,6.1,18.1,16.4,5.3,2.7,2.2,9,4.5,4.7,1.8,8,6.7,2.1,4.5,0.6,0.1,1.8
거주국,말레이시아,230,46.3,60.9,22.5,30.7,12.9,8.4,14.3,15.8,12.2,3.6,1.5,3.8,1.7,3.5,2.4,6,3.8,9.5,2.4,0.3,2.2
거주국,호주,138,19.7,39.3,21.7,14.1,3.4,3.7,4,11,13.3,6,9.6,1.9,4.2,6.4,2.5,4,6.2,3.3,4.5,0.2,20.8
거주국,미국,799,15.8,40.5,25.3,10.4,4.5,5.3,7.1,13.6,18.1,5.4,12,2.8,2.2,7.3,2.9,2.2,6.4,4.9,7.3,1.3,15.3
거주국,캐나다,151,19.3,40.2,25.2,12.4,3.2,3.5,4.2,12.2,21.8,5.1,13.9,0.7,3.5,7.4,3.1,2.8,5.5,4.3,6.1,0,14
거주국,영국,120,17.7,29.1,27.2,7.4,1.3,2.2,6.9,10.8,18.5,7.2,17.3,1.6,4.6,7.8,2.7,2.8,7.6,2.4,5.5,0.3,17.9
거주국,독일,100,10.8,22.4,17.7,7.1,1.8,4,6.9,6,19.6,4,7.7,1.5,6.3,4.9,1.1,1.5,5.3,2.8,2.6,0.3,28.5
거주국,프랑스,85,15.7,37.6,18.4,8.6,0.9,6.8,4.1,8.7,14.6,6.2,15.6,2.3,7,6,3.8,5.4,6.3,3.3,6.1,0.2,17.1
거주국,러시아,154,41.2,47.6,22.7,22.6,6.3,5.5,9.6,8.4,5.9,6.7,9.4,4.3,3.1,4.7,1.2,0.2,10.3,4.4,1.9,2.7,11.1
거주국,중동,171,37.5,51.5,18.7,28.6,5.5,6.8,4.4,7.6,6,15.2,4.4,2.4,2.5,4.3,0.5,1,8.5,9.7,1,6.5,5.9
거주국,인도,74,21.8,45.3,18,18.3,8.4,3.2,5.2,9.3,12,19.6,6.7,5.4,2.6,3.7,0.3,0.5,14.2,3.6,2.6,0.9,11.6
거주국,기타,1098,34,48.1,24.4,21.7,3.8,13.9,7.8,9,12.3,11.8,7.2,3.8,2.5,4.7,2.2,2.8,4.9,3.3,2.4,0.4,10.5
성별,남자,5747,46.2,33.3,38,12.4,9.5,11.7,7.8,5.2,6.4,7.7,7.8,4.8,10,2.6,1.5,1.3,3.7,2.1,2,1,9.4
성별,여자,7135,73.6,48,38,16.4,10.5,11.5,7.9,9.3,5,2.9,2.7,4.1,4.2,2.8,3.5,3.9,2.9,2.6,1.4,0.7,1.8
연령,15~20세,666,64.6,55,39,20.3,4.6,9.2,8.4,8.4,4.5,4.3,3.2,3,5.6,4.8,5.7,7.5,2.5,0.7,0.9,0.1,1.4
연령,21~30세,5076,71.7,48.1,35.8,16.9,11.8,9.7,8,8.9,4.7,4.8,4.6,4.6,6.3,3.1,3.1,3.4,2.6,2.5,0.9,0.5,2
연령,31~40세,3487,63.3,40.5,35,15.1,11.7,12.8,7.3,6.4,4.9,5.2,4.4,4.6,8,2.2,2,2.2,4.2,2.2,1.2,0.6,5.3
연령,41~50세,1972,48.2,31.4,41.7,11.1,8.3,14.1,7,6.6,6.9,6,6.5,4.6,7.1,2.1,2.4,1.4,3.9,2.5,3.1,1.4,9
연령,51~60세,1158,41.9,29,46.3,7.7,5.1,11.8,9,5.4,8.2,5,6.9,3.5,6.2,1.8,1.3,1.9,3.3,2.7,3,1.4,12.6
연령,61세 이상,491,36.8,29.3,46.9,10,6.5,15.9,10.7,7.5,11.2,4.1,6,3.7,5.8,3.8,1.4,0.5,2.6,3.3,4.1,2.9,9.3
연령,모름/무응답,31,48.2,38.1,40,14.4,6.3,8.4,2.6,1.1,2.5,3.8,0,5.4,0,5.2,4.4,1.8,4.2,1.8,2.2,0,14.9
직업,공무원 군인,709,59,43,35.8,14.9,10.6,13.8,8.6,10.8,8.6,6.8,6.3,4.5,4.2,2.2,2.6,3.8,3.3,2.7,3.1,0.7,2.8
직업,기업인 경영직,1327,40.9,33.9,24.3,13.2,9.2,9.4,7.6,7.6,8,5.8,7.2,4.3,5.6,1.9,1.6,1.4,4.5,2.5,2.2,0.5,16
직업,사무기술직,2733,66.1,37.9,43.8,12.2,11.2,11.2,7.2,7,4.3,3.7,4.5,4.1,6.4,2.2,2.9,2.8,2.6,2,1,0.4,5.2
직업,판매 서비스직,1511,71.2,42.4,45.9,14.7,9.7,13.1,7.5,6.4,3.1,3.1,3,4.4,6.6,1.9,2.8,2.4,2.7,3,0.5,1.2,3
직업,전문직,1102,54,38.7,36,11.9,10.1,10.9,6.2,7.9,9.8,6.2,5.7,2.8,6.2,4.2,2.2,2.3,4.6,2,3.2,1.3,7.3
직업,생산/기능/노무,504,47.3,29,47.7,13.5,7.7,13.4,10.1,4,5.2,7.1,10.6,6.8,11.4,3.5,1.1,1.6,4.7,2.3,4.2,0.8,7.1
직업,자영업자,1450,66.1,48,29.9,17,14.7,14.4,7,7.3,3.5,5,4.8,6.5,10.6,1.2,1,1.1,1.9,3.4,1.2,1.3,3.2
직업,학생,1599,63.5,53.4,38.7,20.4,5.7,7.6,8.2,7.9,5.9,5.8,4.5,3.9,5.6,5.4,5.2,5.7,2.3,2.1,1.2,0.4,1.9
직업,주부,552,62.3,46.3,39.6,16.4,14.5,12.8,7.1,9.3,5.4,5.2,1.4,2.9,6.1,1.7,2.9,2.5,3.9,3.2,1.8,0.5,3.1
직업,은퇴자,293,58.6,28.8,49.5,7.7,5.3,18.8,11.1,6.4,9.1,7.1,3.6,4.3,7.9,3.1,0.2,0.7,6.1,1.3,3.4,4,4.4
직업,무직,258,65,38.5,42.3,11.5,6.9,9.1,11.3,9.8,6.9,6.8,5,5,1.9,1.9,2.8,2.2,5.2,1.4,1.1,2.2,2.1
직업,기타,783,67.3,39.9,31.8,15.8,10,12.6,10.3,7.6,4.7,4.7,5.5,4,8.3,3.4,3.2,4.1,3.8,1.8,1.1,0.5,2
직업,무응답,62,72.8,42.8,34.8,13.2,2.3,6.5,5.9,3,3.1,3.9,9.8,8.2,4.1,0.4,1.3,0.7,9.8,1.1,1.3,0,3.4
방한목적,여가/위락/휴가,7293,71.9,42,41,14.6,12.2,14.2,9.3,7,4.9,3.9,4.4,5.3,7.1,2.1,3.1,3.5,3.2,2.6,1.4,0.8,1.4
방한목적,뷰티/건강/치료,140,71.5,46.1,24.9,20.8,6.6,16.4,6.4,4,2.4,4.7,6.5,3.9,2.5,0.2,1.3,1.6,6.3,2.8,0.4,1,3.8
