순위,품목,브랜드,제품명
1,화장품,맥,립스틱
1,화장품,맥,라이트풀C 퀵 피니쉬 컴팩트
1,화장품,맥,립펜슬
1,화장품,맥,미네랄라이즈 스킨피니쉬
1,화장품,맥,버시컬러 스테인
2,화장품,입생로랑,루쥬 뷔르 꾸뛰르 베르니 아 레브르
2,화장품,입생로랑,루쥬 볼립떼 샤인
2,화장품,입생로랑,루쥬 뷔르 꾸뛰르 베르니 아 레브르 바이닐 크림
2,화장품,입생로랑,르 쿠션 엉끄르드 뽀
2,화장품,입생로랑,루쥬 뷔르 꾸뛰르
3,화장품,샤넬,루즈 알뤼르 잉크
3,화장품,샤넬,루즈 알뤼르 벨벳
3,화장품,샤넬,루즈 코코
3,화장품,샤넬,네일라커
3,화장품,샤넬,레 꺄트르 옹브르
4,화장품,베네피트,블러셔
4,화장품,베네피트,차차틴트
4,화장품,베네피트,플레이스틱
4,화장품,베네피트,포지틴트
5,화장품,디올,어딕트 립글로우
5,화장품,디올,어딕트 립스틱
5,화장품,디올,어딕트 플루이드 스틱
5,화장품,디올,캡처 토탈 드림 스킨
6,화장품,에스티로더,더블웨어 파운데이션
6,화장품,에스티로더,어드밴스드 나이트리페어 싱크로나이즈드 리커버리 컴플렉스
6,화장품,에스티로더,립스틱
7,화장품,슈에무라,더 라이트벌브 플루이드 파운데이션
7,화장품,슈에무라,루즈 언리미티드 슈프림 마뜨
7,화장품,슈에무라,블러셔
8,화장품,키엘,레어 어스 딥 포어 클렌징 마스크
8,화장품,키엘,립밤
8,화장품,키엘,수퍼 멀티 코렉티브 크림
8,화장품,키엘,울트라 라이트 데일리 UV 디펜스
9,화장품,록시땅,핸드크림
9,화장품,록시땅,로즈 페이스 미스트 듀오
9,화장품,록시땅,로즈에렌 핸드크림
10,화장품,랑콤,쥬시 쉐이커 칵테일 틴트
10,화장품,랑콤,UV 엑스퍼트 XL 쉴드 듀오
10,화장품,랑콤,뗑 미라클 파운데이션
1,담배,에쎄,골든리프 한정판 1mg
1,담배,에쎄,수0.5
1,담배,에쎄,스페셜 골드
2,담배,말보로,레드
2,담배,말보로,골드
3,담배,레종,블루
4,담배,뫼비우스,스카이블루
5,담배,KT&G,디스플러스
6,담배,던힐,6mg
7,담배,보헴시가,no.1
8,담배,팔리아멘트,언급없음
1,패션잡화,루이가또즈,남성지갑
1,패션잡화,루이가또즈,반지갑
2,패션잡화,MCM,미니크로스백
2,패션잡화,롱샴,르 플리아쥬 네오
5,패션잡화,메트로시티,가방
6,패션잡화,듀퐁,남성벨트
7,패션잡화,에트로,가방
8,패션잡화,질스튜어트,ZIP STORY JA3P6F022BK
9,패션잡화,제이에스티나,H16SWS01-L94BLK
10,패션잡화,프리마클라쎄,가방
1,향수,샤넬,No.5
1,향수,샤넬,샹스 오 땅드르
1,향수,샤넬,블루 드 샤넬 오드뚜왈렛
2,향수,CK,CK ONE
2,향수,CK,CK be
3,향수,랑방,에끌라 드 플뢰르 오드퍼퓸
3,향수,랑방,에끌라 드 아르페쥬 오드퍼퓸
4,향수,프레쉬,오드퍼퓸
4,향수,프레쉬,헤스페리데스 오 드 퍼퓸
5,향수,구찌,길티 오드뚜왈렛
5,향수,구찌,길티 우먼 오드뚜왈렛
6,향수,디올,블루밍부케
6,향수,디올,쟈도르 오드 퍼퓸
7,향수,랑콤,미라클
8,향수,엠포리오 아르마니,일르 오드뚜왈렛
9,향수,끌로에,우먼 오드 퍼퓸
10,향수,프라다,캔디키스
1,주류,발렌타인,21년산
1,주류,발렌타인,21년 아메리칸 오크 에디션
2,주류,잭다니엘,허니
3,주류,로얄샬루트,21년산
4,주류,조니워커,블루라벨
5,주류,러시안 스탠다드,Pyccknn Ctahdapt
5,주류,러시안 스탠다드,보드카
6,주류,시바스리갈,18년산
7,주류,글렌모렌지,오리지널
8,주류,로얄 드래곤,수페리어 보드카
9,주류,뮈코,코냑
10,주류,보모어,블랙 락
1,식품/건강,엠앤엠즈,초콜릿 디스펜서
2,식품/건강,홍삼정,로얄
3,식품/건강,마우나로아,ISLAND CLASSICS ASSORTMENT
4,식품/건강,몰랑몰랑,오메기떡
5,식품/건강,하리보,트래블에디션
6,식품/건강,하와이안선,마카다미아 초콜릿
7,식품/건강,fazer,무민 기프트박스
8,식품/건강,geisha,밀크초콜릿
9,식품/건강,고디바,초콜릿
10,식품/건강,리세스,초콜릿
1,액세서리,판도라,반지갑
1,액세서리,판도라,참
1,액세서리,판도라,팔찌
2,액세서리,랑방,선글라스
3,액세서리,스와로브스키,링귀걸이
3,액세서리,스와로브스키,블랙스완 목걸이
3,액세서리,스와로브스키,팔찌
4,액세서리,에스까다,디스퀘어드2
4,액세서리,에스까다,선글라스
5,액세서리,제이에스티나,귀걸이
5,액세서리,제이에스티나,팔찌
6,액세서리,레이벤,ORB4202F #606971
7,액세서리,오클리,스포츠 고글 레이다 락 패스 벤티드
8,액세서리,톰포드,선글라스
9,액세서리,파코,CD2727
10,액세서리,페라가모,선글라스
1,시계,마크제이콥스,헨리딩키
1,시계,마크제이콥스,MBM8643
2,시계,알바,남성시계
3,시계,폴스미스,여성시계
4,시계,CK,시계
5,시계,로만손,시계
6,시계,로즈몽,RS#45-05MT
7,시계,루미녹스,8831.KM
8,시계,스와로브스키,1094377
9,시계,스톤헨지,S0148
10,시계,엠프리오 아르마니,시계
1,유아동,신우토이,뽀로로시계
2,유아동,토이,자동차장난감
