구분,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
출도객(백만원),2015년,"9,086","8,766","9,055","11,184","11,739","8,716","9,789","12,786","10,786","12,382","11,090","9,182"
출도객(백만원),2016년,"9,510","10,164","10,184","12,295","12,565","12,124","12,465","13,828","11,754","12,944","11,050","10,352"
이용객(명),2015년,"3,609","3,486","3,920","4,218","4,273","3,726","4,075","4,960","4,329","4,814","4,761","4,072"
이용객(명),2016년,"4,261","4,218","4,472","4,896","4,837","4,860","4,674","5,184","4,821","5,198","4,869","4,292"
이용률(백만원),2015년,39.73,39.76,43.29,37.72,36.41,42.75,41.63,38.8,40.14,38.88,42.94,44.35
이용률(백만원),2016년,44.81,41.51,43.91,39.82,38.5,40.09,37.5,37.49,41,40.16,44.07,41.43
소비자심리지수,2015년,102,103,101,104,105,98,100,101,103,105,105,102
소비자심리지수,2016년,100,98,100,101,99,99,101,101,101,96,95,94
경제심리지수,2015년,95,100,98,101,99,89,92,94,93,94,94,91
경제심리지수,2016년,91,89,91,94,91,92,93,95,94,93,92,91
