no,kios,district,name,location,address,rests,lat,lon,new
94,94,동구, 미리내아파트앞,판암 기아자동차 버스정류장 앞, 동구 판암동 451-10,12,36.316962,127.454608,기존
95,95,동구, 판암역 1번출구,판암역 1번출구, 동구 판암동 323-2,12,36.316915,127.459173,기존
96,96,동구, 판암역 4번출구,판암역 4번출구, 동구 판암동 303-25,12,36.317217,127.45905,기존
97,97,동구, 가오고등학교 앞,동구청 맞은 편, 동구 가오동 465,11,36.310388,127.455611,기존
98,98,동구, 은어송마을입구,가오 주공아파트 부근/신협 가오점 옆, 동구 가오동 217-4,12,36.305423,127.454544,기존
99,99,동구, 홈플러스(가오점 건너편),가오동 홈플러스 건너편, 동구 가오동 644,13,36.306694,127.456829,기존
100,100,동구, 홈플러스(가오점),가오동 홈플러스 앞, 동구 가오동 552,12,36.306988,127.457129,기존
101,101,동구, 은어송마을 4단지 앞,은어송마을 4단지앞/3단지 맞은편, 동구 가오동 555,12,36.310061,127.461458,기존
102,102,동구, 은어송마을 2단지 앞,은어송마을2단지앞/은어송마을풍림아이원아파트 맞은편, 동구 대성동 130-1,9,36.303717,127.457698,기존
103,103,동구, 남부평생교육문화센터,남부평생교육문화센터 앞, 동구 가오동 559-1,15,36.30407,127.458916,기존
115,115,동구,한전건너편,,동구 용전동 45-1,13,36.357491,127.434317,기존
116,116,동구,홈플러스(동대전),,동구 용전동 51-17,13,36.35394,127.434754,기존
117,117,동구,동부네거리,,동구 용전동 111-26,13,36.350417,127.440376,기존
118,118,동구,복합터미널,,동구 용전동 143-16,13,36.348576,127.435076,기존
119,119,동구,용전동 천주교회앞,,동구 용전동 144-1,13,36.34952,127.432759,기존
120,120,동구,한국통신 용전지점 앞,,동구 용전동 167-20,13,36.353089,127.43219,기존
121,121,동구,용전동 주민센터 건너,,동구 용전동 44-2,12,36.357427,127.433048,기존
151,151,동구,우송대 입구,,동구 자양동 58-12,,36.337178,127.447854,기존
152,152,동구,대전역,,동구 중앙동 17-1,,36.332319,127.432489,기존
153,153,동구,대동역,,동구 대동 148-112,,36.329943,127.442342,기존
166,166,동구,인동 사거리,,동구 인동 116-18,,36.322227,127.437989,기존
167,167,동구,원동 사거리,,동구 원동 36-1,,36.327271,127.434649,기존
168,168,동구,성남 사거리,,동구 성남동 50-1,,36.340981,127.435447,기존
169,169,동구,삼성 사거리,,동구 삼성동 112-1,,36.335942,127.429834,기존
191,191,동구,인동 제2치수교,,동구 신흥동 212,,36.320318,127.445012,기존
204,204,동구,대별3가(낭월오투그란데앞),,동구 낭월동 215-2,,36.285162,127.46584,기존
205,205,동구,대성3가,,동구 대성동 200-4,,36.295263,127.460373,기존
206,206,동구,대전대후문,,동구 용운동 631,,36.334581,127.456799,기존
207,207,동구,가양초등학교,,동구 가양동 288-6,,36.343454,127.442686,기존
225,225,동구,대전보건대,,동구 가양동 88-1,,36.349065,127.451889,기존
228,228,동구,판암동 복지회관,,동구 판암동,,36.316466,127.458787,신설
229,229,동구,판암동 5단지,,동구 판암동,,36.322786,127.458973,신설
232,232,동구,낭월동(산내 주민센터),,동구 낭월동,,36.28207,127.467885,신설
233,233,동구,가양동,,동구 가양동,,36.347932,127.448563,신설
234,234,동구,판암2동,,동구 판암2동,,36.320435,127.451001,신설
235,235,동구,용운동,,동구 용운동,,36.327898,127.461765,신설
240,240,동구,노블레스타워 부근 석교동에서 운전면허시험장,,동구 석교동,,36.28583,127.462293,신설
252,252,동구,,,효동현대아파트,,36.318272,127.440768,신설
261,261,동구,,,동구 가양동 현대서비스4거리,,36.345176,127.445751,신설
262,262,동구,,,동구 비래동 금성백조@,,36.358562,127.450156,신설
263,263,동구,,,동구 명석고등학교,,36.353082,127.453841,신설
264,264,동구,,,동구 대성동3거리,,36.296217,127.460253,신설
265,265,동구,,,동구 대동 407-1,,36.33192,127.444362,신설
266,266,동구,,,동구 낭월동 새마을금고,,36.283577,127.46624,신설
267,267,동구,,,동구 낭월동 석천들마을조고아파트앞 낭월동715,,36.27773,127.467392,신설
268,268,동구,,,동구 용운동 주민센타,,36.328325,127.461547,신설
269,269,동구,,,동구 용운동 752 gs편의점근처,,36.332815,127.454856,신설
297,297,동구,,,성남동스마트뷰,,36.344124,127.433855,신설
302,302,동구,,,동구 삼성동 홍도육교오거리,,36.342486,127.42345,신설
