no,kios,district,name,location,address,rests,lat,lon,new,type,newtype
71,71,대덕구, 대전지방국세청 앞,대전지방국세청 버스정류장 앞, 대덕구 법동 186,12,36.37217,127.427469,기존,주거지,기존주거지
72,72,대덕구, 대전동부경찰서 앞,보람아파트 113동 버스정류장 앞, 대덕구 법동 212,12,36.371626,127.428988,기존,주거지,기존주거지
73,73,대덕구, 대전중앙병원 앞,"현대 자동차,SC제일은행 앞/보람아파트 101동 맞은편", 대덕구 법동 285-3,10,36.36719,127.428883,기존,주거지,기존주거지
74,74,대덕구, 대전중리시장 앞,중리시장 맞은 편/중리 주공아파트1단지 앞, 대덕구 중리동 370-24,12,36.366555,127.426482,기존,주거지,기존주거지
75,75,대덕구, 보람아파트앞,맞은 편 알파문구, 대덕구 법동 202-4,12,36.367574,127.430806,기존,주거지,기존주거지
76,76,대덕구, 선비마을 입구,선비마을 입구 버스정류장, 대덕구 송촌동 446-3,12,36.367246,127.442093,기존,주거지,기존주거지
77,77,대덕구, 선비마을 3단지 앞,선비마을 3단지 버스 정류장, 대덕구 송촌동 461-2,12,36.36836,127.440312,기존,주거지,기존주거지
78,78,대덕구, 중리동,"장안 외과 맞은편/중리네거리에서 신탄진,국세청 방향직진", 대덕구 중리동 107-8,12,36.363177,127.431284,기존,주거지,기존주거지
79,79,대덕구, 수도시설관리사업소 앞,수도시설관리사업소 버스정류장 앞, 대덕구 중리동 118-12,12,36.362092,127.434465,기존,주거지,기존주거지
80,80,대덕구, 송촌소방서앞,송촌소방서 버스정류장 앞, 대덕구 송촌동 539,12,36.363617,127.441809,기존,주거지,기존주거지
81,81,대덕구, 동춘당공원,동춘당 공원 버스정류장 앞, 대덕구 송촌동 192-2,14,36.364663,127.440966,기존,공원,기존공원
82,82,대덕구, 선비마을 5단지 앞,선비마을5단지 버스정류장 앞, 대덕구 송촌동 510,12,36.36684,127.445945,기존,주거지,기존주거지
122,122,대덕구,한남대후문 입구,,대덕구 중리동 231-5,13,36.359669,127.431911,기존,주거지,기존주거지
123,123,대덕구,대덕경찰서앞,,대덕구 문평동 83-2번지,12,36.44694,127.406398,기존,주거지,기존주거지
124,124,대덕구,목상동주민센터앞,,대덕구 목상동 185-1번지,12,36.448472,127.412412,기존,주거지,기존주거지
125,125,대덕구,엑슬루타워 앞,,대덕구 석봉동 336번지,10,36.449253,127.420131,기존,주거지,기존주거지
126,126,대덕구,신탄진 주민센터옆,,대덕구 신탄진동 120-1번지,10,36.451985,127.42887,기존,주거지,기존주거지
127,127,대덕구,신탄진역 앞,,대덕구 신탄진동 147-6번지,13,36.448623,127.429218,기존,주거지,기존주거지
128,128,대덕구,과선교버스정류장,,대덕구 평촌동 264-64번지,13,36.443126,127.429411,기존,주거지,기존주거지
129,129,대덕구,신탄진고 4가,,대덕구 신탄진동 149-6번지,12,36.448472,127.435817,기존,주거지,기존주거지
130,130,대덕구,용정초등학교앞,,대덕구 신탄진동 52-1번지,13,36.45389,127.436737,기존,주거지,기존주거지
131,131,대덕구,에코공원앞,,대덕구 신탄진동 산1-7번지,12,36.448772,127.444365,기존,공원,기존공원
132,132,대덕구,삼정3가,,대덕구 삼정동 산27-4번지,13,36.444265,127.434191,기존,공원,기존공원
154,154,대덕구,한남오거리,,대덕구 오정동 731,,36.350197,127.415616,기존,주거지,기존주거지
155,155,대덕구,오정동 운암빌딩 옆,,대덕구 오정동 61-13,,36.358786,127.411271,기존,주거지,기존주거지
184,184,대덕구,오정우체국,,대덕구 오정동 432-4,,36.352593,127.415718,기존,주거지,기존주거지
185,185,대덕구,비래동 산림조합,,대덕구 비래동 123-7,,36.355027,127.447314,기존,주거지,기존주거지
196,196,대덕구,대덕구 평생학습원,,대덕구 읍내동 324-5,,36.374104,127.420646,기존,주거지,기존주거지
208,208,대덕구,회덕농협건너편,,대덕구 읍내동 573-4,,36.378736,127.427128,기존,주거지,기존주거지
209,209,대덕구,동부평생교육원,,대덕구 법동 440-1,,36.374253,127.428365,기존,주거지,기존주거지
210,210,대덕구,읍내동우편취급국,,대덕구 읍내 215-5,,36.377694,127.420874,기존,주거지,기존주거지
211,211,대덕구,석봉문화센터,,대덕구 석봉동 184-1,,36.447149,127.426479,기존,주거지,기존주거지
212,212,대덕구,대덕구보건소4가,,대덕구 덕암동 12-1,,36.443783,127.424982,기존,주거지,기존주거지
223,223,대덕구,가양비래공원네거리,,대덕구 비래동 47-1,,36.353772,127.455321,기존,주거지,기존주거지
239,239,대덕구,와동(한국수자원공사),,대덕구 와동,,36.397158,127.426809,신설,주거지,신설주거지
253,253,대덕구,,,대덕구 읍내동현대아파트앞,,36.379774,127.423588,신설,주거지,신설주거지
254,254,대덕구,,,대덕구 송촌동 송촌성당219-1,,36.3617,127.445246,신설,주거지,신설주거지
255,255,대덕구,,,대덕구 덕암동 톨게이트앞 행복한마을@앞,,36.438393,127.423048,신설,주거지,신설주거지
256,256,대덕구,,,대덕구 덕암동 맥도날드,,36.432862,127.423139,신설,주거지,신설주거지
257,257,대덕구,,,대덕구 석봉동 보건소4거리,,36.445019,127.426281,신설,주거지,신설주거지
258,258,대덕구,,,대덕구 상서동 173-3 대창아파트 ~KT&G신탄진공장 중간,,36.426801,127.42417,신설,주거지,신설주거지
259,259,대덕구,,,대덕구 오정동 주민센타 편의점,,36.353436,127.409904,신설,주거지,신설주거지
260,260,대덕구,,,대덕구 오정동 농수산시장앞,,36.358899,127.407888,신설,주거지,신설주거지
298,298,대덕구,,,중리동 동사무소,,36.36055,127.426325,신설,주거지,신설주거지
