no,kios,district,name,location,address,rests,lat,lon
3,3,서구, 한밭수목원(정문입구),한밭수목원 내, 서구 만년동 396,19,36.369855,127.388749
4,4,서구,초원아파트104동부근(버스정류장),초원아파트 104동앞 쪽문 육교 버스정류장 앞, 서구 만년동 401,12,36.368192,127.379281
5,5,서구, 둔산대공원 입구(버스정류장),한밭수목원에서 평송수련원 가는길 버스정류장 앞, 서구 둔산동 1521-10,13,36.365034,127.389361
6,6,서구,백합4가 앞(농협앞),"백합아파트 상가 
농협 버스정류장 앞", 서구 월평2동 266,12,36.362304,127.376419
7,7,서구,정부청사 입구(대덕대로),둔산 시외버스터미널 버스정류장 앞, 서구 둔산동 920-2,13,36.361665,127.379699
8,8,서구, 정부청사 입구(샘머리),둔산 고속버스터미널 버스정류장 앞, 서구 둔산동 1518,12,36.361794,127.390417
9,9,서구,황실아파트앞(성룡초교 앞),"성룡초교 정문 
버스정류장앞", 서구 월평동 304,12,36.361392,127.374236
10,10,서구,만년동 KBS 부근(기업은행 앞),"초원아파트 102동 
육교 건너편", 서구 만년동 300,12,36.369207,127.379801
11,11,서구,누리아파트앞(후문버스정류장),"누리아파트 후문과 
무지개아파트 사이 버스정류장 앞", 서구 월평3동 301 ,12,36.358995,127.374158
12,12,서구, 정부청사역 앞(4번 출구),삼성생명 앞, 서구 둔산2동 949-1,13,36.357945,127.381749
13,13,서구, 삼천중학교 앞,"수정타운 아파트
1동 버스정류장 앞", 서구 둔산2동 911,12,36.358597,127.395406
14,14,서구,둔산 하이마트 앞,둔산 이마트 맞은편 하이마트 버스정류장 앞, 서구 둔산2동 962,20,36.355558,127.379243
15,15,서구, 둔산 홈플러스 앞,법원 버스정류장 앞, 서구 둔산동 1380-5,13,36.355591,127.390063
16,16,서구, 국화아파트앞(501동 앞),"국화아파트 501동 
버스정류장 앞", 서구 둔산동 1386,12,36.353776,127.395398
17,17,서구,타임월드 앞 ,"타임월드 서문 
버스정류장 앞/우리은행 앞", 서구 둔산2동 1036,20,36.35219,127.378814
18,18,서구, 대전시청 앞,대전 시청 버스정류장 앞/시청역 2번출구, 서구 둔산1동 1420,17,36.351132,127.384838
19,19,서구, 현대아이텔 앞(버스정류장),현대아이텔 버스정류장 앞/시청역 6번 출구, 서구 둔산1동 1457,13,36.351344,127.388518
20,20,서구," 크로바아파트앞
(목련아파트 사이 버스정류장)",크로바아파트와 목련아파트 사이 버스정류장 앞/크로바 아파트 상가 맞은편, 서구 둔산동 1554-1,12,36.351158,127.39193
29,29,서구,만년동주민센터,만년동 주민센터, 서구 만년동 13,16,36.367511,127.375161
30,30,서구,선사유적지주차장 앞,"CGV영화관 
버스정류장 앞", 서구 월평2동 243,12,36.361967,127.379233
33,33,서구,월평역,월평 이마트 트레이더스 버스정류장 앞, 서구 월평동 428,20,36.358494,127.361197
34,34,서구,진달래아파트앞,진달래 아파트 107동 쪽문 앞 버스정류장 앞/ 대로변, 서구 월평동 604,13,36.357889,127.365972
35,35,서구,갈마역,"국민생활관 뒤 
운동장 공원쪽 
버스정류장 앞", 서구 둔산동 1515-2,13,36.35758,127.372055
36,36,서구, 가람아파트앞,"가람아파트 뒷편 
육교 버스정류장 앞", 서구 둔산동 2156,13,36.357513,127.396525
37,37,서구, 수정타운아파트앞,"수정타운 아파트 
쪽문 앞 육교 버스정류장 앞", 서구 둔산동 1515 ,13,36.357915,127.397638
38,38,서구, 갑천역 1번출구,갑천역 1번 출구, 서구 월평동 1534,13,36.354558,127.35479
39,39,서구, 패션월드 앞,성심병원 맞은 편, 서구 월평1동 1498,13,36.351205,127.351928
40,40,서구, 월평타운 앞,맞은편, 서구 월평동 1543,13,36.353767,127.359323
41,41,서구, 대전일보 앞,육교 앞, 서구 월평동 16-2(41-3),13,36.35362,127.363193
