no,kios,district,name,location,address,rests,lat,lon
1,1,유성구,무역전시관입구(택시승강장 앞),엑스포다리 맞은편, 유성구 도룡동 3-8,14,36.374325,127.387462
2,2,유성구,대전컨벤션 센터 앞,둔산대교 맞은편, 유성구 도룡동 4-19,20,36.374472,127.392241
21,21,유성구,카이스트 학사식당 앞,카이스트 학사식당 앞, 온천2동 7.7 m 북,28,36.373457,127.359293
22,22,유성구,카이스트 창의학습관 앞,카이스트 창의학습관 앞, 온천2동 24 m 동,28,36.370263,127.362136
23,23,유성구,카이스트 정문,"카이스트 정문/
경비실 안쪽", 유성구 구성동 284-4,14,36.36617,127.363966
24,24,유성구,화폐박물관,화폐박물관 정문, 유성구 가정동 35,12,36.376804,127.371004
25,25,유성구,카이스트 후문,"카이스트 후문 
맞은편", 유성구 구성동 145,13,36.374511,127.366894
26,26,유성구,엑스포 과학공원 주차장,국립중앙과학관 주차장 입구 버스정류장 앞, 유성구 가정동 39-2,13,36.37693,127.37875
27,27,유성구,엑스포 과학공원 앞,"엑스포 과학공원 
버스정류장 앞", 유성구 도룡동 3-1,13,36.377146,127.379383
28,28,유성구,스마트시티,"스마트시티2단지
201동앞/ DCC 뒤편", 유성구 도룡동 4-32,14,36.377927,127.390637
31,31,유성구,유성구청,유성구청 맞은 편 , 유성구 어은동 59-12,20,36.361773,127.357485
32,32,유성구, 홈플러스(유성점),홈플러스(유성점)정문 버스정류장 앞, 유성구 봉명동 669,20,36.359293,127.354503
54,54,유성구, 궁동네거리,"충대 후문 쪽/ 유성 하이마트,드림월드 아파트 맞은편", 유성구 장대동 312-3,13,36.365025,127.338651
55,55,유성구, 충대정문오거리 1,충대 정문 앞/ 지하차도 위 버스정류장 앞/월드컵 경기장 방향, 유성구 궁동 258-8,20,36.362446,127.344131
56,56,유성구, 충대정문(장대네거리),충대 정문 맞은편/뚜레주르 앞," 유성구 궁동 376-1
 (유성구 장대동 331-5)",18,36.361736,127.344994
57,57,유성구, 한진오피스텔 앞,新한진오피스텔 앞, 유성구 봉명동 535-5,13,36.357928,127.342792
58,58,유성구, 구암역 3번출구,구암역 3번 출구, 유성구 구암동 96-9,13,36.356429,127.331122
59,59,유성구, 유성온천역 6번출구,유성 피자헛 앞, 유성구 봉명동 552-5,10,36.354262,127.341502
60,60,유성구, 유성온천역 3번출구,"CJ나인파크 앞/ 
도안동 방향", 유성구 봉명동 326-95,13,36.353299,127.341132
61,61,유성구, 만년교 앞,레전드삼거리맞은편, 유성구 봉명동 328-22,16,36.35213,127.346011
62,62,유성구, 도안휴먼시아 1단지 앞,도안1단지 입구 105동  , 도안휴먼시아 105동앞,10,36.350259,127.340585
63,63,유성구, 상대초교 앞,상대초교 정문 옆, 유성구 상대동 138-67,13,36.348384,127.335775
64,64,유성구, 목련 1단지 앞,생명과학고 정문과 목련 1단지 아파트 사이," 유성구 구암동 29-5
 (유성구 상대동 425-9)",13,36.34828,127.330728
65,65,유성구, 센트럴시티,봉명중학교 앞," 유성구 봉명동 359
 (유성구 봉명동 385-1)",15,36.348254,127.344085
66,66,유성구, 휴먼시아 6단지 앞,"베스킨라빈스,롯데리아 앞/국민은행 옆", 유성구 상대동 7-1,11,36.345705,127.340362
67,67,유성구, 한라비발디 앞,한라비발디(도안3단지) 입구," 유상구 상대동 233-4
 (유성구 상대동 173)",15,36.345334,127.335073
68,68,유성구, 신안인스빌리베라 앞,공원사거리, 유성구 원신흥동 204-8,13,36.342508,127.346724
69,69,유성구, 트리플시티 앞,"트리플시티 
920동앞"," 유성구 상대동 72-3
 (유성구 상대동 72-5)",13,36.342793,127.337476
70,70,유성구, 도안휴먼시아 10단지 앞,도안휴먼시아 10단지 맞은편 삼거리 앞,"유성구 원신흥동 410-6
(유성구 원신흥동 
183-2)",14,36.338048,127.338356
104,104,유성구,중앙과학관,"국립 중앙 과학관 
내부", 유성구 가정동 54-4,10,36.375232,127.378133
105,105,유성구,카이스트 서쪽 쪽문,"카이스트 서쪽 
쪽문", 카이스트 서쪽 쪽문,15,36.364177,127.358845
106,106,유성구,카이스트 다솜관,카이스트 다솜관, 카이스트 다솜관,15,36.367989,127.356852
107,107,유성구,카이스트 세종관,카이스트 세종관, 카이스트 세종관,15,36.370768,127.366645
108,108,유성구,목원대,목원대 정문 500m, 유성구 용계동 664-4,15,36.331955,127.337932
144,144,유성구,타슈 관제센터,,유성구 원촌동 76-1,11,36.389376,127.409729
145,145,유성구,호반 베르디움 (201동 앞),,유성구 봉명동 972,,36.349293,127.347636
148,148,유성구,금성 백조 (701동 앞),,유성구 봉명동 1038-1,,36.348253,127.344402
149,149,유성구,트리플시티5단지,,유성구 상대동 495,,36.345422,127.338914
158,158,유성구,대덕연구단지 전자통신연구원,,유성구 가정동 160-2,,36.384258,127.368237
159,159,유성구,연구단지네거리,,유성구 도룡동 393-2,,36.385628,127.376854
160,160,유성구,연구단지운동장 건너편,,유성구 신성동 108-2,,36.385637,127.35364
161,161,유성구,연구단지 KT_G 건너편,,유성구 신성동 산 19-3,,36.385048,127.349101
162,162,유성구,송강체육관 앞,,유성구 송강동 200-2,,36.432123,127.386968
163,163,유성구,송강초등학교 앞,,유성구 송강동 199,,36.43308,127.384005
164,164,유성구,관평동 롯데마트,,유성구 관평동 1286,,36.429198,127.391811
165,165,유성구,관평동 배울네거리,,유성구 관평동 912,,36.42216,127.387813
178,178,유성구,노은역,,유성구 지족동 901-5,,36.374459,127.31843
179,179,유성구,반석역,,유성구 반석동 694,,36.391222,127.314863
180,180,유성구,전민동 주민센터 건너편,,유성구 전민동 304-5,,36.399371,127.401813
181,181,유성구,전민동 엑스포4단지 건너편,,유성구 전민동 385-8,,36.396973,127.404589
182,182,유성구,한밭대입구,,유성구 덕명동 16-1,,36.349362,127.301992
183,183,유성구,현충원역,,유성구 구암동 424-67,,36.359706,127.320402
187,187,유성구,양우건설 내안애,,유성구 원신흥동 485-3,,36.344243,127.347224
189,189,유성구,원내동 샘물타운,,유성구 원내동 349,,36.299689,127.320273
190,190,유성구,교촌동 제이파크,,유성구 교촌동 617,,36.304498,127.319022
199,199,유성구,노은1주민센터,,유성구 노은동 546,,36.368251,127.318458
200,200,유성구,지족역,,유성구 지족동 840-2,,36.383024,127.319104
201,201,유성구,노은3주민센터,,유성구 지족동 1024-2,,36.386883,127.308405
203,203,유성구,죽동 금성백조,,유성구 죽동 108-4,,36.368904,127.336817
213,213,유성구,송림4가,,유성구 하기동 516,,36.387304,127.32054
214,214,유성구,외삼4가(반석6단지앞),,유성구 반석동 613,,36.394319,127.309015
215,215,유성구,지족초등학교 앞,,유성구 지족동 853,,36.379119,127.316717
226,226,유성구,대정동모다아울렛,,유성구 대정동 303-2,,36.312652,127.31914
