"분류",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"분류",사례수,테디베어박물관,제주올레길,성산일출봉,중문관광단지/서귀포,한라산,거문오름용암동굴계,우도/마라도/추자도,용두암,섭지코지,제주민속촌박물관
"전체",2008,1.2,22,72.9,39.1,49.1,13.8,13.5,60.8,24.4,62
"일본",109,1.1,12.3,56.5,42.7,39.3,16.4,19.5,37.3,14,45.5
"중국",1543,1.4,21.9,78.2,40.5,50.3,10.5,12,69.4,27.4,67.2
"홍콩",17,0,33.3,60.3,43.9,50.8,21.4,20,30.4,23.6,42.2
"싱가포르",39,0,5.3,72.9,27.8,31.6,28.6,12,29.7,16.6,57
"대만",32,2.8,30.2,79.9,21.6,63.3,25.2,18.9,78.7,33.5,79.4
"태국",24,2.9,10.9,22.6,50.6,27.4,2.3,11.9,11.8,2.2,16.2
"말레이시아",59,0,18.2,62.3,21.2,38.7,23.6,6.9,39.6,17.2,60.1
"호주",8,0,40.5,43,26.9,61.5,32,12,14.4,8.3,26
"미국",55,0,41.5,42.7,33.9,59.6,31.5,25.3,23.8,13.7,34.7
"캐나다",13,0,38.6,49.9,42.5,59.8,47.2,16.3,15.6,8,38.4
"영국",7,0,16.9,50.4,17.5,47.1,40.9,4.7,19.9,8,21
"독일",4,0,13.2,27,33.5,67.4,26.6,14.5,27.1,0,23.2
"프랑스",7,0,19.8,43.7,34.7,58.1,31.3,18.1,19.6,5.6,32.7
"러시아",5,5.9,0,25,19.5,32.8,27.5,0,21.5,6.8,26
"중동",7,0,9.6,28.6,23.6,51.4,34.8,12.9,28.5,4.8,13.8
"인도",5,0,33.4,43.2,19,43.1,45.3,29.7,14.1,15.4,41.5
"기 타",74,0,31.7,57.6,38.3,44.6,26.7,31.8,24.5,12,40.3
