구분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,
중화권,중국,"83,987","110,010","140,849","245,106","240,811","288,996","388,694","450,359","306,732","282,994","178,025","142,529","117,179","198,196","172,100","261,695","256,818","155,953","65,977","191,959","233,383","268,591","174,677","140,835","142,133","190,761","199,952","244,440",
,홍콩,692,"1,758","2,402","3,653","2,943","2,764","2,111","2,722","2,543","3,167","2,318","1,332",554,906,"3,186","3,686","2,188","1,419",329,925,"4,530","2,154","1,598","1,257",646,"1,115","2,257","4,241",
,대만,"1,740","1,692","1,837","2,530","3,225","3,550","3,570","3,849","2,872","3,385","2,455","1,484","1,061","1,231",831,"3,609","1,804","1,096",169,348,"1,784","2,088","2,022","1,796","1,927","2,142","1,874","2,874",
일본,일본,"5,022","5,231","7,985","12,671","14,355","8,774","6,373","7,577","8,705","8,816","7,754","3,256","3,749","3,855","5,651","7,663","14,641","3,760","1,650","7,037","4,685","3,109","1,662","1,771","1,646","1,942","3,471","5,479",
동남아,싱가포르,967,"1,617","2,776","4,165","2,616","3,524","1,759","1,038","2,254","5,989","5,634","13,968",1211,921,"2,231","4,032","2,507","1,332",428,598,"1,533","3,144","3,610","8,073","1,485","1,414","1,876","5,554",
,말레이시아,"1,663","2,716","3,881","7,950","3,890","4,497","2,626",995,"2,808","8,744","9,091","15,092","1,383","1,380","4,626","6,300","2,890","1,722",419,674,"1,856","4,490","5,056","9,096","1,886","3,467","4,793","7,854",
,인도네시아,"1,392","1,639","1,722","4,362","5,270","2,708","3,811","1,545","1,307","2,632","2,634","7,828","1,799",908,"2,842","3,392","2,483","1,515","1,752",504,880,"1,324","1,224","4,084","1,754","1,494","3,050","5,735",
,베트남,172,"2,640","1,896","5,088","4,057","2,290","3,492","2,141","1,690","3,541","2,957","1,950",593,952,"4,437","7,846","2,602","1,412",651,832,"1,007","2,724","2,854",896,770,"3,069","2,739","3,457",
아시아,기타,"1,962","5,434","4,207","10,730","8,569","2,183","1,679","1,919","1,795","9,065","7,575","7,349","6,450","5,616","8,429","11,703","8,418","4,968","2,268","2,491","2,635","7,534","8,051","7,393",2152,"1,744","2,590","4,388",
구미권,미국,281,856,"1,162","2,661","1,720","1,822","1,694","1,564","1,798","4,855",818,581,315,400,857,"2,907","2,497","1,736","1,235","1,252","1,866","1,807",1057,969,779,"1,389","2,415","3,780",
,기타,"1,573","2,749","2,642","5,329","4,357","4,046","4,352","4,564","6,213","8,328","4,215","2,440","1,382","1,651","3,319","7,878","7,602","6,100","7,810","7,153","7,314","9,748","8,694","6,563",5398,"5,200","8,475","8,996",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
