연번,구분,관광지명,방문객수 (2015년 11월말 기준),시설규모(㎡),대기장소 위치,2015년(기존인원),2016년(배치인원)
1,제주특별자치도,4. 3 평화공원,157423,11455,대기실 (4.3평화기념관 내),9,9
2,제주특별자치도,너븐숭이,16826,2532 (건물294),대기실 (북촌기념관 내),3,3
3,제주특별자치도,제주돌문화공원,215216,969731,매표소 옆 해설사실,9,22
4,제주특별자치도,교래자연휴양림 ,103151,2300000,매표소 옆 해설사실,4,5
5,제주특별자치도,민속자연사박물관,686279,6719.02,로비 및 박물관 내 별도사무실 ,9,10
6,제주특별자치도,항일기념관,123091,1757.17,전시실 입구,4,4
7,제주특별자치도,해녀박물관,127254,4958,안내데스크,4,5
8,제주특별자치도,현대미술관,52646,2107,해설사 대기실,1,2
9,제주특별자치도,농업기술센터 (농업생태원),176354,80733,농업생태원 내 감귤홍보관,3,3
10,제주특별자치도,김만덕기념관,34884,2902.87,1층 로비 안내데스크,4,5
11,제주특별자치도,김만덕객주터,10000,2146,안내실,0,4
12,제주특별자치도,삼양선사유적지,153416,18363.5,매표소 및 전시관 내,4,4
13,제주특별자치도,제주목관아,153416,26660,매표소 동쪽 해설사실,9,11
14,제주특별자치도,항몽유적지,59208,1100559,휴게실 옆 해설사실,9,9
15,제주특별자치도,성읍민속마을,18420,74.66,성읍민속마을 내 사무실,7,9
16,제주특별자치도,제주추사관,15633,추사관 1193 유배지 1449,추사관 중앙홀,4,6
17,제주특별자치도,혼인지,4997,719,혼인지사무실,2,3
18,제주특별자치도,한란전시관,,1440,한란전시관 내,0,2
19,제주시,용두암,46929,3462.57,관광안내소,5,6
20,제주시,우도,1947961,66,리사무소 내,1,1
21,서귀포시,감귤박물관,74366,6436,감귤박물관  관광안내소,3,4
22,서귀포시,기당미술관,2860,11279,기당미술관 내,2,3
23,서귀포시,산방산,478391,503935,산방산 관리사무실 내,4,8
24,서귀포시,소암기념관,4096,1524,기념관 내,2,3
25,서귀포시,이중섭미술관,16138,5720,미술관 내,3,4
26,서귀포시,정방폭포,898737,10529,정방폭포 관광안내소 내,3,3
27,서귀포시,주상절리,1569735,384732,주상절리 관광안내소 내,4,4
28,서귀포시,쇠소깍,638000,52.6,쇠소깍 관리사무소,2,4
29,서귀포시,천제연폭포,709887,401702,천제연 관광안내소 내,4,6
30,서귀포시,천지연폭포,1708464,273538,서귀포 종합관광안내소 내 ,3,4
31,서귀포시,예래생태체험관,9880,부지2642㎡ 연면적849㎡,예래생태체험관 안내데스크,0,2
