"term","num"
"부안군","114"
"전라북도","101"
"부안","82"
"익산","64"
"들이","48"
"시민","42"
"버스","41"
"공사","39"
"생각","38"
"답변","37"
"민원","37"
"익산시","37"
"저희","37"
"시간","36"
"신호","36"
"봉덕","35"
"가로등","32"
"설치","30"
"사람","29"
"전화","29"
"상황","28"
"차량","28"
"불법주차","27"
"문제","26"
"사업","25"
"아이들","25"
"인도","25"
"쓰레기","24"
"조치","24"
"하게","24"
"불법","23"
"주민","23"
"직원","23"
"확인","23"
"도로","22"
"미세먼지","22"
"불편","22"
"사용","22"
"관련","21"
"시청","21"
"아내","21"
"여직원","21"
"주변","21"
"공무원","19"
"위험","19"
"동중","18"
"안전","18"
"요청","18"
"하시","18"
"해주","18"
"고객","17"
"로봇","17"
"마을","17"
"아이","17"
"정도","17"
"교육","16"
"발생","16"
"보수","16"
"안녕","16"
"철거","16"
"하기","16"
"기사","15"
"때문","15"
"사항","15"
"식사","15"
"정책","15"
"주차","15"
"학생","15"
"횡단보도","15"
"가게","14"
"단속","14"
"도시락","14"
"사실","14"
"이용","14"
"전북","14"
"지역","14"
"하면","14"
"하천","14"
"환경","14"
"가지","13"
"감정","13"
"개발","13"
"나무","13"
"배달","13"
"보안","13"
"불법주정차","13"
"위반","13"
"파손","13"
"하지","13"
"검토","12"
"내용","12"
"녹색","12"
"사진","12"
"서외","12"
"수거","12"
"신기","12"
"이해","12"
"토지","12"
"통행","12"
"해주시","12"
"경우","11"
"다음","11"
"무주군","11"
"변산면","11"
"본인","11"
"사람들","11"
"사이","11"
"아파트","11"
"오후","11"
"자연","11"
"정류장","11"
"주택","11"
"진행","11"
"처리","11"
"폐기물","11"
"해결","11"
"해당","11"
"거리","10"
"근무","10"
"마무리","10"
"발전","10"
"병원","10"
"부분","10"
"상태","10"
"스캔","10"
"시정","10"
"신청","10"
"아침","10"
"여산면","10"
"우리","10"
"입구","10"
"잘못","10"
"축사","10"
"해보","10"
"행위","10"
"현장","10"
"관리","9"
"도서관","9"
"마음","9"
"미터","9"
"보행자","9"
"시작","9"
"쌈야채를","9"
"이장님","9"
"이전","9"
"일반","9"
"일부","9"
"자료","9"
"장애인","9"
"지반","9"
"청소년","9"
"초등학교","9"
"카페","9"
"피해","9"
"필요","9"
"하세","9"
"해서","9"
"감사","8"
"공원","8"
"구역","8"
"그것","8"
"마트","8"
"바람","8"
"서울","8"
"설명","8"
"성명","8"
"시내","8"
"언제","8"
"업무","8"
"업체","8"
"운영","8"
"원룸","8"
"의자","8"
"일방","8"
"입장","8"
"장사","8"
"전주","8"
"주문","8"
"주인","8"
"치료","8"
"카메라","8"
"태양광","8"
"택시","8"
"거기","7"
"고장","7"
"고향","7"
"공병","7"
"교통","7"
"군수","7"
"낭산","7"
"노력","7"
"누구","7"
"대지","7"
"대책","7"
"도시","7"
"동네","7"
"매립","7"
"모두","7"
"목소리","7"
"무시","7"
"무주","7"
"무주의","7"
"무통증","7"
"방치","7"
"복구","7"
"부담","7"
"부족","7"
"사무실","7"
"산정","7"
"세요","7"
"소리","7"
"시설","7"
"시스템","7"
"에서","7"
"이야기","7"
"자기","7"
"전용","7"
"정문","7"
"지금","7"
"지자체","7"
"진입","7"
"카드","7"
"코너","7"
"폐석","7"
"포장","7"
"학교","7"
"ldquo","7"
"거주","6"
"거짓말","6"
"경계","6"
"광고","6"
"구체","6"
"군민","6"
"급여","6"
"대형","6"
"동산","6"
"만큼","6"
"모습","6"
"번호","6"
"부모","6"
"부서","6"
"부착","6"
"부탁","6"
"불구","6"
"사례","6"
"상기","6"
"소음","6"
"수년","6"
"시간표","6"
"심각","6"
"아래","6"
"어린이","6"
"얼마","6"
"연락","6"
"연립","6"
"오전","6"
"완료","6"
"음식","6"
"이번","6"
"인접","6"
"주차장","6"
"준비","6"
"진입도로","6"
"청소","6"
"청약","6"
"촬영","6"
"측량","6"
"하나","6"
"허가","6"
"환자","6"
"흉물","6"
"가능","5"
"간호사","5"
"개선","5"
"걱정","5"
"건의","5"
"결과","5"
"고농도","5"
"공간","5"
"과속","5"
"국가","5"
"군산","5"
"군청","5"
"근처","5"
"금마","5"
"기적","5"
"남자","5"
"납골당","5"
"냄새","5"
"노고","5"
"농수로","5"
"다시","5"
"담당","5"
"담당자","5"
"대회","5"
"동물","5"
"등교","5"
"마스크","5"
"말씀","5"
"모현","5"
"바닥","5"
"방해","5"
"배출","5"
"변경","5"
"생활","5"
"서동","5"
"시멘트","5"
"아저씨","5"
"아카데미","5"
"어르신","5"
"억울","5"
"여부","5"
"운동","5"
"운행","5"
"인터넷","5"
"인허가","5"
"일요일","5"
"있습니다그리고","5"
"자녀","5"
"자신","5"
"장소","5"
"재활용","5"
"좌회전","5"
"죄송","5"
"주공","5"
"주정차","5"
"중간","5"
"중학교","5"
"지번","5"
"지장","5"
"지정","5"
"진동","5"
"첨부파일","5"
"청구","5"
"축제","5"
"통증","5"
"편리","5"
"하고","5"
"하루","5"
"한번","5"
"함열","5"
"현재","5"
"형성","5"
"활동","5"
"후문","5"
"가가호호","4"
"감독","4"
"거소","4"
"건물","4"
"건설","4"
"격포","4"
"경찰","4"
"계단","4"
"계속","4"
"공개","4"
"공기","4"
"공유자","4"
"공익","4"
"공장","4"
"공지","4"
"과학","4"
"관계","4"
"관심","4"
"교통사고","4"
"궁금","4"
"기관","4"
"까지","4"
"노점상","4"
"다들","4"
"다른지역","4"
"다리","4"
"단지","4"
"당시","4"
"대지의","4"
"드리","4"
"드립","4"
"마포","4"
"며칠","4"
"목적","4"
"문답","4"
"물리치료사","4"
"미래","4"
"민원인","4"
"바로","4"
"발급","4"
"방법","4"
"방안","4"
"방지","4"
"복사","4"
"부송","4"
"부지","4"
"불만","4"
"사고","4"
"산소","4"
"새터","4"
"서상","4"
"소각","4"
"소나무","4"
"소유","4"
"속도","4"
"수치","4"
"시점","4"
"시행","4"
"신고","4"
"실수","4"
"실제","4"
"쌈야채가","4"
"엄마","4"
"연맹","4"
"외부","4"
"요법","4"
"운동기구","4"
"위치","4"
"위협","4"
"은동","4"
"의견","4"
"의심","4"
"이것","4"
"이곳","4"
"이상","4"
"입원","4"
"자동차","4"
"자원과","4"
"장례식장","4"
"적극","4"
"적절","4"
"전국적","4"
"정리","4"
"조례","4"
"조류","4"
"종사","4"
"좋겠습니","4"
"중앙","4"
"지원","4"
"지적","4"
"진입로","4"
"질문","4"
"책임","4"
"첨부","4"
"체계","4"
"컨트롤","4"
"태도","4"
"통화","4"
"투자","4"
"파이","4"
"폐기물업체","4"
"하니","4"
"한곳","4"
"행사","4"
"행정","4"
"환불","4"
"dot","4"
"가족","3"
"각도","3"
"각종","3"
"갓길","3"
"개월","3"
"거래","3"
"건강","3"
"건너","3"
"건축물","3"
"게시","3"
"게시판","3"
"계장","3"
"계좌","3"
"계획","3"
"고은","3"
"골목","3"
"공기청정기","3"
"공단","3"
"공문","3"
"공부","3"
"과로","3"
"과장","3"
"과정","3"
"관련하","3"
"교통과","3"
"구입","3"
"국장","3"
"귀촌","3"
"규정","3"
"균열","3"
"그리고다른","3"
"금요일","3"
"기다리겠습니","3"
"기록","3"
"기본적","3"
"기준","3"
"기타","3"
"길가","3"
"깔끔","3"
"나리","3"
"남아있습니","3"
"논의","3"
"농작물","3"
"농협","3"
"다문화","3"
"답답","3"
"대부분","3"
"대표","3"
"도로변","3"
"도리","3"
"도수","3"
"도중","3"
"도착","3"
"동고","3"
"동진면","3"
"등록","3"
"등산","3"
"로상","3"
"만국기","3"
"만한","3"
"많으십니다익산시","3"
"머리","3"
"무단","3"
"무인","3"
"물건","3"
"반말","3"
"발권","3"
"방문","3"
"방향","3"
"보급","3"
"보수부탁드립니다○","3"
"보호","3"
"복잡","3"
"복통","3"
"봉사","3"
"봉투","3"
"부근","3"
"부모님","3"
"분리","3"
"불편함","3"
"비닐하우스동약m2설치하여닭을","3"
"비침습","3"
"빌딩","3"
"사과","3"
"산번지내에있는","3"
"산업","3"
"삼거리","3"
"상대방","3"
"새벽","3"
"석정","3"
"성인","3"
"세금","3"
"세상","3"
"소상공인","3"
"소유자","3"
"속상","3"
"수고","3"
"수도","3"
"수배","3"
"수차례","3"
"순간","3"
"스티로폼","3"
"승인","3"
"시원","3"
"시의원","3"
"시정명령","3"
"시정조치","3"
"시험","3"
"신경","3"
"신속","3"
"실망","3"
"실선","3"
"실정","3"
"실증실험","3"
"실행","3"
"쓰레기통","3"
"안내","3"
"안들어옵니다○","3"
"앞산","3"
"양산","3"
"어머니","3"
"여러","3"
"여명","3"
"여유","3"
"영등","3"
"영업","3"
"오거리","3"
"오늘","3"
"오산","3"
"오픈","3"
"오해","3"
"왕래","3"
"외의","3"
"요구","3"
"요처","3"
"용기","3"
"용적률","3"
"우포","3"
"우회전","3"
"월일","3"
"위해","3"
"의미","3"
"의사","3"
"이미지","3"
"이상한","3"
"이혼","3"
"인상","3"
"인식","3"
"인정","3"
"자세","3"
"자재","3"
"잘못된","3"
"장동","3"
"장마","3"
"재배","3"
"저녁","3"
"적용","3"
"전달","3"
"전략","3"
"점멸","3"
"정비","3"
"정화조","3"
"제가","3"
"조사","3"
"종량제","3"
"주위","3"
"주장","3"
"줄포면","3"
"중요","3"
"증가","3"
"지하","3"
"직진","3"
"진출입","3"
"차례","3"
"참고자료","3"
"참조","3"
"창문","3"
"처벌","3"
"철거하지않고있어서빠른","3"
"출입","3"
"출장","3"
"친구","3"
"침수","3"
"침하","3"
"컨테이너","3"
"타고","3"
"트럭","3"
"파악","3"
"판단","3"
"페인트","3"
"평소","3"
"포함","3"
"프리미엄","3"
"하다","3"
"하라","3"
"하려","3"
"하루종일","3"
"하오","3"
"하천부지","3"
"함유","3"
"합리","3"
"합의","3"
"해도","3"
"해양에너지","3"
"해역","3"
"행안면","3"
"현금","3"
"현수막","3"
"화장실","3"
"확보","3"
"환자복","3"
"활용","3"
"황색","3"
"회진","3"
"훼손","3"
"resizedjp","3"
"‘기존통증치료로","2"
"1만성통증","2"
"2암성통증","2"
"3난치성","2"
"가구","2"
"가기","2"
"가는길","2"
"가능성","2"
"가세요rdquo","2"
"가심","2"
"가이","2"
"가한","2"
"간호","2"
"개인","2"
"거절","2"
"건너편","2"
"건이","2"
"걸처","2"
"검토하세요그리고","2"
"겨울철","2"
"격어합니다자연천이","2"
"격포항","2"
"견주","2"
"결재라인","2"
"결정","2"
"경기","2"
"경기도","2"
"경북","2"
"경악","2"
"경험","2"
"계명","2"
"계십니까미세먼지","2"
"고익","2"
"고쳐주세여","2"
"고통을호소합니다","2"
"곳곳","2"
"곳인대무리한","2"
"곳인데어떻게","2"
"곳입니다동네","2"
"공급","2"
"공사현장","2"
"공업","2"
"공용","2"
"과만","2"
"과명","2"
"과목","2"
"과와","2"
"과제","2"
"관리사무소","2"
