"처리부서","mean_답변기간","sum_답변기간","min_답변기간","max_답변기간"
"회계과","18.428571428571427","129","0","63"
"여성가족과","53","53","53","53"
"변산면","11.5","161","0","50"
"부안읍","7.742857142857143","271","0","44"
"행안면","15","75","5","41"
"안전총괄과","19.615384615384617","255","5","40"
"문화홍보축제실","15","45","1","39"
"환경정책과","29.5","59","24","35"
"정보통신과","22.5","45","14","31"
"도시재생과","9.11111111111111","82","1","30"
"경제교통과","10.25","41","0","29"
"기획감사실","15","90","8","29"
"기획예산과","11.25","90","1","29"
"건설과","7.1","71","0","28"
"공원녹지과","27","27","27","27"
"인재양성과","26","26","26","26"
"교통행정과","3.8627450980392157","394","0","25"
"대외협력","5.461538461538462","142","0","21"
"자치행정과","8.125","130","1","20"
"지역경제과","20","20","20","20"
"녹색환경과","3.90625","125","0","19"
"건설교통과","7.241758241758242","659","0","18"
"동진면","6.7","67","1","18"
"민원소통과","7.6","152","0","18"
"문화예술과","13.5","27","10","17"
"김한","16","16","16","16"
"친환경축산과","10.428571428571429","146","5","16"
"최병화","15","15","15","15"
"축산과","2.909090909090909","192","0","15"
"하수도과","7","56","1","15"
"행정지원과","6","36","1","15"
"금마면","7.5","15","1","14"
"문화관광과","5.916666666666667","71","0","14"
"청소자원과","4.6","115","1","14"
"총무과","13","26","12","14"
"계화면","13","13","13","13"
"직소민원팀","8.235294117647058","140","2","13"
"푸른도시과","8.275","331","1","13"
"관리자","6","12","0","12"
"도로관리과","7.105263157894737","270","0","12"
"보건소","8.333333333333334","25","6","12"
"보안면","7.4","37","5","12"
"산림공원과","4.166666666666667","25","2","12"
"시정에바란다","5.833333333333333","35","2","12"
"진서면","5","45","1","12"
"식품위생과","11","11","11","11"
"백산면","9","27","8","10"
"주민복지과","6.5","13","3","10"
"주민행복지원실","4","92","1","10"
"하서면","5","10","0","10"
"미래창조경제과","4.8","24","0","9"
"상서면","5.571428571428571","39","3","9"
"시민안전과","5.25","21","3","9"
"해양수산과","8","32","7","9"
"농촌지원과","8","8","8","8"
"도로공원과","3.310344827586207","96","1","8"
"맑은물사업소","5.6","28","0","8"
"문화체육시설사업소","7","42","6","8"
"자원순환과","8","8","8","8"
"전국체전담당관","8","8","8","8"
"농업경영과","7","7","7","7"
"주산면","7","7","7","7"
"주택과","3.7058823529411766","63","1","7"
"체육진흥과","2.625","42","0","7"
"경로장애인과","3","24","1","6"
"재무과","3","9","0","6"
"종합민원과","6","6","6","6"
"주택행정과","4","8","2","6"
"줄포면","4.2","21","1","6"
"투자유치과","6","6","6","6"
"감사담당관","5","5","5","5"
"미래농업과","3","15","1","5"
"민생경제과","1.7777777777777777","16","0","5"
"산림녹지과","5","5","5","5"
"상수도과","3.3333333333333335","10","2","5"
"강영진","4","4","4","4"
"경영개발과","3.5","7","3","4"
"관광진흥과","4","4","4","4"
"박물관관리과","4","4","4","4"
"보건지원과","2.5","5","1","4"
"시립도서관","2.2","11","1","4"
"역사문화재과","3","9","1","4"
"위생과","3.3333333333333335","10","3","4"
"최운찬","4","4","4","4"
"건축경관과","3","3","3","3"
"국민생활관","3","3","3","3"
"보건사업과","1.2","6","0","3"
"여성보육과","2","12","0","3"
"옥도면","3","3","3","3"
"옥서면","3","3","3","3"
"추은택","3","3","3","3"
"교육정보과","2","2","2","2"
"농업정책과","2","2","2","2"
"박성엽","2","2","2","2"
"산림과","1.5","3","1","2"
"영등1동","2","4","2","2"
"의회사무국","2","2","2","2"
"농산물유통과","1","1","1","1"
"마동","1","1","1","1"
"세무과","1","2","1","1"
"식품클러스터지원과","1","1","1","1"
"신동","1","1","1","1"
"어린이행복과","1","1","1","1"
"정보통신담당관","1","1","1","1"
"중앙동","1","1","1","1"
"차량등록사업소","1","1","1","1"
"토지정보과","1","1","1","1"
"한류패션과","1","2","1","1"
"함열출장소","1","1","1","1"
"남중동","0","0","0","0"
"복지청소년과","0","0","0","0"
"홍보담당관","0","0","0","0"
"군수실","","0","",""
"도시계획과","","0","",""
"임피면","","0","",""
