"term","num"
"부안군","69"
"전라북도","57"
"버스","53"
"사람","44"
"익산","42"
"주민","42"
"민원","37"
"설치","37"
"익산시","37"
"답변","34"
"문제","34"
"들이","33"
"부안","32"
"불법","32"
"쓰레기","31"
"생각","30"
"이용","30"
"확인","30"
"기사","29"
"운영","29"
"안전","28"
"가로등","27"
"조치","27"
"하지","26"
"해결","26"
"불편","25"
"시민","25"
"하게","25"
"도로","24"
"철거","24"
"경우","23"
"센터","23"
"도서관","22"
"요청","22"
"사진","21"
"위험","21"
"지역","21"
"차량","21"
"동장","20"
"시간","20"
"안녕","20"
"처리","20"
"해당","20"
"내용","19"
"하시","19"
"해주","19"
"마을","18"
"사항","18"
"상황","18"
"아파트","18"
"우리","18"
"이상","18"
"택시","18"
"관련","17"
"발생","17"
"인도","17"
"공무원","16"
"관리","16"
"저희","16"
"제조","16"
"진행","16"
"말씀","15"
"위원","15"
"전기","15"
"제설","15"
"주차장","15"
"공사","14"
"공원","14"
"냄새","14"
"시장","14"
"아이","14"
"오늘","14"
"하기","14"
"해서","14"
"횡단보도","14"
"방법","13"
"사실","13"
"생활","13"
"시설","13"
"가지","12"
"감사","12"
"공고","12"
"때문","12"
"봉덕","12"
"아침","12"
"운영자","12"
"이번","12"
"지원","12"
"첨부","12"
"개선","11"
"대책","11"
"동네","11"
"드립","11"
"보호","11"
"보호소","11"
"어양","11"
"예산","11"
"일반","11"
"장수","11"
"정책","11"
"주차","11"
"하나","11"
"강아지","10"
"건물","10"
"군산시","10"
"근처","10"
"급경사","10"
"누구","10"
"단속","10"
"마련","10"
"방치","10"
"방향","10"
"밴드","10"
"부분","10"
"불법건축물","10"
"사용","10"
"시청","10"
"아이들","10"
"업무","10"
"우려","10"
"위원회","10"
"정도","10"
"정류장","10"
"주변","10"
"주택","10"
"직원","10"
"출산","10"
"토지","10"
"행정","10"
"건의","9"
"계획","9"
"금지","9"
"담당","9"
"도시","9"
"동물","9"
"마음","9"
"부탁","9"
"새벽","9"
"시행","9"
"신청","9"
"영등","9"
"운행","9"
"의견","9"
"의자","9"
"이오","9"
"작성","9"
"전북","9"
"전주","9"
"조례","9"
"주민자치","9"
"지급","9"
"통보","9"
"필요","9"
"하면","9"
"하천","9"
"해주시","9"
"회사","9"
"고생","8"
"군민","8"
"규정","8"
"깨끗","8"
"나무","8"
"도착","8"
"방지","8"
"병원","8"
"보수","8"
"부송","8"
"불편함","8"
"사거리","8"
"사이","8"
"상가","8"
"상태","8"
"세요","8"
"십자가","8"
"아동","8"
"이전","8"
"이후","8"
"입구","8"
"자동차","8"
"책임","8"
"행복","8"
"classhstyle","8"
"개발","7"
"거주","7"
"결과","7"
"권한","7"
"날씨","7"
"노력","7"
"노인","7"
"모습","7"
"묘지","7"
"문의","7"
"서외","7"
"시정","7"
"어르신","7"
"운동","7"
"이해","7"
"전화","7"
"점검","7"
"제기","7"
"진동","7"
"축제","7"
"출발","7"
"통행","7"
"표지판","7"
"하려","7"
"해요","7"
"행위","7"
"회원","7"
"가능","6"
"개월","6"
"개인","6"
"건설","6"
"검색","6"
"겨울","6"
"계약","6"
"고문","6"
"공개","6"
"관계","6"
"관심","6"
"구간","6"
"국민","6"
"군산","6"
"까지","6"
"내비게이션","6"
"내역","6"
"다시","6"
"당시","6"
"대형","6"
"동중","6"
"만원","6"
"모현","6"
"문화","6"
"번호","6"
"분리수거","6"
"분양","6"
"불법광고","6"
"불법주차","6"
"생명","6"
"수거","6"
"수업","6"
"신경","6"
"신고","6"
"신문고","6"
"야영","6"
"약봉지","6"
"약속","6"
"언제","6"
"업체","6"
"연락","6"
"운전자","6"
"인구","6"
"자분","6"
"자전거","6"
"작업","6"
"장려","6"
"전용","6"
"절차","6"
"접수","6"
"정리","6"
"정차","6"
"줄포면","6"
"지자체","6"
"진서","6"
"집앞","6"
"차선","6"
"청소","6"
"카드","6"
"통화","6"
"하다","6"
"하차","6"
"학원","6"
"한번","6"
"함열","6"
"행사","6"
"현금","6"
"홍보","6"
"classhstylebr","6"
"걱정","5"
"검토","5"
"고려","5"
"골목","5"
"과속","5"
"교육","5"
"교통과","5"
"구역","5"
"궁금","5"
"그것","5"
"금액","5"
"농사","5"
"단독주택","5"
"담장","5"
"답답","5"
"대응","5"
"대중교통","5"
"동아리","5"
"동진면","5"
"뒷문","5"
"맨홀","5"
"먼지","5"
"모두","5"
"목줄","5"
"무단","5"
"바람","5"
"방문","5"
"방해","5"
"변산면","5"
"보도","5"
"보안","5"
"보행자","5"
"본인","5"
"분뇨","5"
"불구","5"
"비산","5"
"사람들","5"
"사랑","5"
"사업","5"
"생활쓰레기","5"
"서비스","5"
"소리","5"
"손님","5"
"송학","5"
"승강장","5"
"시내","5"
"시분","5"
"에서","5"
"오전","5"
"운전","5"
"원대","5"
"원룸","5"
"유기견","5"
"유기동","5"
"음식","5"
"이미지","5"
"이유","5"
"일부","5"
"자리","5"
"자선","5"
"자신","5"
"자치","5"
"적극","5"
"전문","5"
"정문","5"
"정비","5"
"제초","5"
"주소","5"
"주시","5"
"주정차","5"
"중소기업","5"
"지도","5"
"진정","5"
"참석","5"
"출근","5"
"충전소","5"
"취사","5"
"취소","5"
"포장","5"
"하고","5"
"하세","5"
"하신","5"
"해달","5"
"행위자","5"
"허가","5"
"현수막","5"
"환경","5"
"활동","5"
"가스업체","4"
"가족","4"
"감사하겠습니","4"
"강의료","4"
"개똥","4"
"건강","4"
"게시물","4"
"견주","4"
"경적","4"
"고민","4"
"공간","4"
"관련하","4"
"관리하","4"
"구체","4"
"기관","4"
"기분","4"
"김제시","4"
"농수로","4"
"다음","4"
"다자녀","4"
"담당자","4"
"대학교","4"
"도움","4"
"동안","4"
"되었습니","4"
"드립니다원상복구","4"
"등등","4"
"마트","4"
"막말","4"
"만큼","4"
"많으십니다다름이","4"
"면적","4"
"명시","4"
"명인","4"
"무주","4"
"물건","4"
"미터","4"
"바로","4"
"발송","4"
"발열","4"
"발전","4"
"배상","4"
"백산면","4"
"벌금","4"
"변경","4"
"보급","4"
"부담","4"
"부조리","4"
"불만","4"
"사과","4"
"상수도","4"
"상처","4"
"석정","4"
"선정","4"
"세금","4"
"소음","4"
"소통","4"
"수고","4"
"수령","4"
"수영장","4"
"승인","4"
"시립도서관","4"
"시정조치","4"
"시행령","4"
"시험","4"
"신호","4"
"실시","4"
"심각","4"
"아래","4"
"아무","4"
"아주머니","4"
"악취","4"
"안나","4"
"안녕하세요저는","4"
"억울","4"
"여부","4"
"영양사","4"
"오후","4"
"완료","4"
"월일","4"
"위촉","4"
"의심","4"
"이곳","4"
"이런일이","4"
"이름","4"
"이정표","4"
"인식","4"
"임시","4"
"입장","4"
"작년","4"
"작은","4"
"장님","4"
"장려금","4"
"장소","4"
"저감","4"
"저녁","4"
"전염병","4"
"정확","4"
"제도","4"
"조합원","4"
"종합","4"
"준비","4"
"줄포","4"
"중앙","4"
"중이","4"
"지속적","4"
"지하","4"
"진입","4"
"참여","4"
"초등학교","4"
"촌동","4"
"출생아","4"
"탄소","4"
"파손","4"
"파악","4"
"평동","4"
"포상금","4"
"푸들","4"
"프로그램","4"
"피해","4"
"하네","4"
"하니","4"
"하라","4"
"학생","4"
"행정기관","4"
"혜택","4"
"홈페이지","4"
"화상","4"
"황당","4"
"가설물","3"
"가택","3"
"감면","3"
"강사","3"
"건축물","3"
"검사","3"
"게시","3"
"게시판","3"
"겨울철","3"
"경사","3"
"경찰","3"
"계단","3"
"계도","3"
"고령화","3"
"공단","3"
"공문","3"
"공지","3"
"공통","3"
"공학","3"
"관내","3"
"관리감독","3"
"광고","3"
"교차로","3"
"교통","3"
"군수","3"
"군청","3"
"권리","3"
"균열","3"
"그곳","3"
"근무","3"
"급출발","3"
"기능","3"
"기타","3"
"긴급","3"
"길가","3"
"낙엽","3"
"낙하물","3"
"내부","3"
"누군가","3"
"다들","3"
"담배","3"
"대상","3"
"대성리","3"
"대학로","3"
"도입","3"
"도치","3"
"동사무소","3"
"동산","3"
"드리","3"
"리어카","3"
"마리","3"
"마지막","3"
"매연","3"
"며칠","3"
"물론","3"
"반복","3"
"발암물질","3"
"방식","3"
"배산","3"
"배차","3"
"법안","3"
"보상","3"
"봉투","3"
"부과","3"
"부근","3"
"부지","3"
"부착","3"
"분차","3"
"불가","3"
"불쾌","3"
"블럭","3"
"사고","3"
"사전","3"
"삼거리","3"
"상대","3"
"상서","3"
"선생님","3"
"설비","3"
"설해","3"
"성실","3"
"세계","3"
"소급","3"
"소용","3"
"소유","3"
"소중","3"
"수리","3"
"수신","3"
"수익자","3"
"수차례","3"
"스캔","3"
"승객","3"
"시도","3"
"신동","3"
"신축부지","3"
"실시간","3"
"심정","3"
"아저씨","3"
"안내","3"
"안녕하십니까","3"
"안락사","3"
"앞문","3"
"약국","3"
"양해","3"
"얘기","3"
"어디","3"
"어른","3"
"어이","3"
"얼마","3"
"여기","3"
"여러","3"
"연구소","3"
"예상","3"
"예전","3"
"완전","3"
"요구","3"
"요즘","3"
"우선","3"
"유기","3"
"유출","3"
"음료","3"
"이것","3"
"이내","3"
"이만저만","3"
"인근","3"
"인수","3"
"임실","3"
"있습니","3"
"자기","3"
"장애인","3"
"장학금","3"
"재능기부","3"
"재산","3"
"재산권","3"
"재활용","3"
"적법","3"
"적용","3"
"적재","3"
"전국","3"
"전등","3"
"점유","3"
"정기점검","3"
"제거","3"
"제공","3"
"조에","3"
"조처","3"
"조항","3"
"졸업","3"
"주문","3"
"주요","3"
"주인","3"
"주택가","3"
"중심","3"
"지구보존","3"
"지정","3"
"직접","3"
"진료","3"
