"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
1,"어양동 김제형내과 근처 신고","어양동 일대 첨부파일1의 내용과 같이 현수막 신고합니다.1, 어양동 하나로 와 부송1로 교차로(어양공원) 현수막 신고2, 어양동 무왕로22길 어양우미아파트 정문 입구 근처 현수막 신고3, 어양동 하나로 어양공원 근처 현수막 신고.철거전. 철거후 사진 첨부 바랍니다.","2017-05-28","2017-05-28","2017-06-05","도로공원과","처리완료","부안읍"
2,"할랄단지!! 절대반대","할랄 식품단지 설립을 반대합니다.할랄식품단지 조성으로 인하여 우리가 잃게 될 엄청난 사실들(이슬람 문화의 정착으로 인하여 벌어질 많은 일들)을알면서 그것을  보고만 있는다면 그건 대한민국 국민이 아니라고 생각합니다.부디 자라는 우리의 미래세대를 생각해서라도 이런 일들은 정말 충분히 고려하고 또 고려하여  우리 선조들이지켜오신 아름다운 문화를 훼손하는 일이 없도록, 우리 아이들에게 부끄럽지않은 엄마.아빠로 남겨질 수 있도록선처바랍니다.  지금 세계가 주목하고 있는 IS를 보면서 어떻게 이런일들을 계획하고 승인할 수 있는지요.익산뿐만이 아닌 우리나라의 미래가 어떻게 되어지길 원하나요?  결코 있을 수 없는 일들이 이땅에서 자꾸 벌어지고 있습니다. 할랄식품단지 조성은 절대 안됩니다. ","2016-01-07","2016-01-07","2016-01-07","식품클러스터지원과","처리완료","부안읍"
3,"가로등 불이 들어오지 않습니다","전라북도 부안군 변산면 마포리 산 12-3깜깜해요*  *(1/1) G: 2018/03/16 17:04:09G:  *","2018-03-20",,"2018-03-29","부안읍","처리완료","부안읍"
4,"(SPP-1703-2900280)화장실 문 파손되어서 문이 없음","전라북도 부안군 동진면 봉황리 382-3물길을 위해 파 놓은것 같은데차나 사람이 지나갈 시 턱이 좀 있어요","2017-03-29",,"2017-03-31","해양수산과","처리완료","부안읍"
5,"참사랑 농장 살처분 하지 마십시요!!","안녕하세요익산 시청장님말도 안되는일이 벌어지고 있어 이렇게  익산시청에 글을 올립니다AI 감염이 된 닭들은 살처분 대상이죠그런데 AI 감염여부가 음성으로 나왔는데도 불구하고왜 살처분하시려는 겁니까?납득이 되지 않습니다.참사랑 농장의 경우엔 다른사육장과 달리  닭 사육을 특별하게 관리해와서면역력이 좋기로 소문나있고,감염여부도 음성판정이나왔는데도 불구하고 살처분한다는게 말입니까?요즘 안그래도 살기 힘든 마당에 도와주지 못할망정왜 말도안돼는 일을 하시는지 모르겠습니다이건 누가봐도 불법 살처분입니다국민이 뭘 원하는지 익산 시민이 무엇을 원하는지 두눈을 크게 뜨고귀를 귀울여 들어주세요제발 부탁드립니다...  ","2017-03-13","2017-03-13","2017-03-17","축산과","처리완료","변산면"
6,"신호등설치해주세요","접수일시: 2018년 08월22일/ 제출처: 부안군청 건설과 행정팀미불용지 대상토지: 부안읍 서외리 42-77 (83평방미터)대상토지에 대해서 미불용지 보상신청서(매입청구서)를제출했습니다.신청한 토지가 미불용지로서 보상청구(매입청구)대상이면회신 해주시기바람니다.혹, 미불용지가 아니라서 보상청구대상이 아니면 사유(내역)회신 부탁합니다.(보상예정금액이나,보상예정지급시기에대한 회신이 아님니다.) 미불용지 유,무와 매입청구 유,무에 대해서 회신부탁합니다.","2018-01-31","2018-01-31","2018-02-01","교통행정과","처리완료","무삼지4길"
7,"버스가 그냥 지나감","안녕하세요. 저는 평소 자가용으로 출퇴근을 하는 직장인입니다.하지만 운전을 시작한지 그리 오래 되지 않았고, 어젯밤 내린 눈으로 도로가 얼었기에 오늘은 대중교통을 이용하여 출근을 하기로 하였습니다. 시내버스 이용을 자주 하지 않다보니 정확한 노선을 알지 못하여, 탑승 전에 버스 운전기사분께 목적지(동익산 정류장)까지 가는지 몇 번이고 되물어봤습니다. 기사님께서 목적지까지 가는게 맞다고 확인을 해주신 끝에 저는 2017년 12월 12일 오늘 오전 7시 30분경 부송동 주공8,9차 앞 버스정류장에서 107-2번 버스를 탔습니다.그런데 버스에 탑승한 뒤 30분 이상 지나고 익산역 앞을 지나 중앙사거리 방향으로 좌회전을 하자마자 버스 운전기사님께서 """"""""동익산 가신다는 손님~!""""""""하고 부르시길래 대답을 했더니,생각해보니 이 버스는 동익산역까지 운행하지 않는다는 겁니다. 그래서 저는 """"""""타기 전에 목적지까지 가신다고 말씀하지 않으셨냐""""""""고 되물었고, 기사님께서는 미안하다는 한마디 말도 없이 `본인도 노선이 헷갈려서 그랬다`고 말씀하시며 지금 내리라고 하시는 겁니다. 당황한 저는 일단 버스에서 내렸습니다. 아침인데다 도로상황 좋지 않다보니 어렵게 택시를 타고 출근은 했지만, 생각할수록 황당해서 태어나 처음으로 민원을 제기합니다.버스 운전을 하시는 기사님들께서는 여러 버스를 돌아가며 운전을 하다보니, 노선이 헷갈릴수도 있습니다. 하지만 분명 타기 전에 2번이나 확인을 했었기에 믿었는데, 너무나 태연하게 헷갈렸다는 한 마디로 무마시키시다니...기분이 좋지 않네요.저는 그 기사분께 사과를 요구하는 것이 아닙니다. 제가 시내버스를 이용하지 않으면 될 일이기에... 제가 부탁드리고 싶은 것은 아래와 같습니다.1. 익산시청 홈페이지에 등재된 버스 노선표를 찾아보니, 107번과 107-1, 107-2번 모두 경유지에 """"""""동익산""""""""이 표기 되어 있고, 노선표에도 동익산을 지나가는 것으로 명시되어 있습니다. 이는 실제 운행노선과 다르므로 즉각 수정 부탁드립니다. 제가 버스 탑승 전 시청에 등재된 노선표를 확인했다하더라도 오늘과 같은 일이 벌어졌을 것입니다.2. 최소한 본인이 운행하는 버스 노선은 확실히 인지하도록 교육이 필요할 것 같습니다. (ex.운행 노선표 지참)3. 버스운행이 힘든 일이라는 것은 알겠으나, 어쨌든 서비스업이기에 승객들에게 더 나은 응대를 해주시면 감사하겠습니다. ","2017-11-19","2017-11-19","2017-11-24","교통행정과","처리완료","부안읍"
8,"가습기살균제 옥시물품을 사용하지 맙시다.","1. 시정운영에 항상 힘써주셔서 대단히 감사합니다.2. 군장대학교에서 시내방면으로 나가는 버스를 야간에 대기하면서 버스정류장에 전등이 없어서 야간에 안전사고 우려 및 대중교통 이용자가 버스를 대기하면서 두려움이 있는듯 합니다.3. 하지만 군장대 정류장은 이용자가 적어 지속적으로 전등을 켜둘시 에너지 낭비가 예상 됩니다만, 태양광전지판을 이용한 센서등을 설치하면 어느정도 에너지 절약 효과가 예상이 됩니다.4. 3번사항이 어렵더라면 센서등 정도의 전등을 설치 하여 야간에 시내버스를 이용하는 승객들이 보다 안전하게 버스를 이용하게 해 주시면 감사하겠습니다. 끝.","2016-05-17","2016-05-17","2016-05-18","농산물유통과","처리완료","부안읍"
9,"맹동마을 산업도로 옆 경작지 피해","전북 익산시의 송학동과 오산면 일원 `이리변전소 송전선로` 3개선의 지중화사업이 이달 준공된다.시는 130억원의 사업비를 투입해 이리변전소 주변 2.4㎞ 구간의 송전선로 지중화를 지난해 말 완료했으며, 송전탑 11기에 대한 철거작업 공사가 이달중 마무리된다고 25일 밝혔다.시는 지중화공사와 병행 추진 중에 있는 망기마을 진입도로공사가 상반기 중 완료될 경우 변전소 일대의 도시미관과 대상지역 주민의 생활환경이 획기적으로 개선되는 효과가 있을 것으로 보고 있다.익산에 영등중학교 어양중학교 인근 변전소와 송전탑 지중화가 제일 먼저 아닌가요?학생들과 동도미소드림 리젠시빌 어양라온프라이빗 아파트 입주민들한테도 그렇고요..이곳 송전탑부터 지중화 시켜야 된다고 생각합니다.아이들의 건강을 생각해서라도요.이곳도 지중화해주세요","2017-06-05","2017-06-05","2017-06-14","경영개발과","처리완료","부안읍"
10,"제발 부탁드립니다","<> 후미등 불법 튜닝으로 식별의 어려움 (1/1) I : 2018.09.24 17:30:58 A :  : I :  .[  : 1522-0660 ()]","2016-07-06","2016-07-06","2016-11-24","교통행정과","처리완료","사창길"
11,"도시가스관 및 상수도","안녕하세요.익산시 석암동 주민입니다도시가스관이 동네 입구를 지나갑니다만동네인쪽까지는 설치가 안되있어서많은 비용을 부담해서 설치가 어렵습니다시에서 도시가스와 상수도 설치에관해 지원부탁드립다","2017-02-05","2017-02-05","2017-02-07","상수도과","처리완료","변산면"
12,"익산동물보호소 시정조치 답글을,"관리를 어떻게 하고 계시길래, 작고 불쌍한 아이들을 저렇게 대하는 거죠?공고사진이 저리 혐오스러울 정도면, 대체 평소에는 잡아죽일 기세네요?당장 시정처리하세요!!","2016-12-08","2016-12-08","2016-12-09","축산과","처리완료","부안읍"
13,"익산시 북부청사 이전에 대하여","안녕하십니까 익산시 조직개편안이 작년 연말에 익산시의회를 통과하였고익산시 조직개편에 따른 인사발령이 2017년1월20일(1월23일 시행) 났고그에 따른 부서들이 익산시 북부청사에 입주를 했는데도안내하는 기능이 미비한것 같습니다 익산시민의 눈으로 익산시 북부청사를 보면서 몇글자 적은것입니다하루라도 빨리 시행되기를 바랍니다 자세한 사항은 첨부자료로 대신합니다 감사합니다","2017-02-02","2017-02-02","2017-02-07","미래농업과","처리완료","변산면"
14,"도로변제초작업부서담당자연락바람","시민의 주거생활 향상에 노력해 주시는 시장님께 감사드립니다...다름이 아니오라....시에서 발송하는 공문의 자료제출에 대한 말씀입니다.오늘 오전(9월 14일) 주택행정과에서 팩스로 발송된 공문입니다. 당일 발송하시고 당일 제출하라니.......주택행정과에 전화해서 """"""""소장님이 교육가셔서 직인이 없어 공문발송이 안되니 내일 제출하면 안될까요?????"""""""" 했더니 """"""""시에서 발송한 공문에 직접 써서 팩스로 전송하시고, 낼 다시 공문작성하여 제출하세요....우리가 소장님이 교육을 가셨는지까지 확인을 해야합니까???? 하시면서 화을 내시더군요....그럼 우리는 두번 일을 해야합니까?????그래서 제가""""""""공문을 보내실때 자료 제출 할수 있는 기간은 2-3일은 줘야 되는거 아닙니까??"""""""" 했더니그 공무원께서 """"""""선생님 그럼 제출하지 마세요...."""""""" 하시면서 화를 내더군요 그럼 우리는 두번 일을 해야합니까????","2017-11-17","2017-11-17",,"임피면","처리중","부안읍"
