gid,경도,위도
다바560511,127.0082470000,36.6572618800
다바560512,127.0082413000,36.6581633400
다바561509,127.0093773000,36.6554635700
다바561510,127.0093716000,36.6563650300
다바561511,127.0093659000,36.6572664900
다바561512,127.0093601000,36.6581679600
다바561513,127.0093544000,36.6590694200
다바562508,127.0105018000,36.6545667100
다바562509,127.0104961000,36.6554681700
다바562510,127.0104904000,36.6563696300
다바562511,127.0104847000,36.6572711000
다바562512,127.0104790000,36.6581725600
다바562513,127.0104733000,36.6590740200
다바562514,127.0104676000,36.6599754800
다바562515,127.0104619000,36.6608769400
다바563507,127.0116263000,36.6536698400
다바563508,127.0116206000,36.6545713000
다바563509,127.0116150000,36.6554727700
다바563510,127.0116093000,36.6563742300
다바563511,127.0116036000,36.6572756900
다바563512,127.0115979000,36.6581771500
다바563513,127.0115922000,36.6590786100
다바563514,127.0115865000,36.6599800800
다바563515,127.0115808000,36.6608815400
다바563516,127.0115751000,36.6617830000
다바563517,127.0115694000,36.6626844600
다바563518,127.0115637000,36.6635859200
다바564507,127.0127451000,36.6536744200
다바564508,127.0127395000,36.6545758800
다바564509,127.0127338000,36.6554773500
다바564510,127.0127281000,36.6563788100
다바564511,127.0127224000,36.6572802700
다바564512,127.0127167000,36.6581817300
다바564513,127.0127111000,36.6590832000
다바564514,127.0127054000,36.6599846600
다바564515,127.0126997000,36.6608861200
다바564516,127.0126940000,36.6617875800
다바564517,127.0126883000,36.6626890400
다바564518,127.0126826000,36.6635905100
다바564519,127.0126770000,36.6644919700
다바565507,127.0138639000,36.6536789900
다바565508,127.0138583000,36.6545804600
다바565509,127.0138526000,36.6554819200
다바565510,127.0138469000,36.6563833800
다바565511,127.0138413000,36.6572848400
다바565512,127.0138356000,36.6581863100
다바565513,127.0138299000,36.6590877700
다바565514,127.0138243000,36.6599892300
다바565515,127.0138186000,36.6608906900
다바565516,127.0138129000,36.6617921600
다바565517,127.0138073000,36.6626936200
다바565518,127.0138016000,36.6635950800
다바565519,127.0137959000,36.6644965400
다바565520,127.0137903000,36.6653980000
다바566506,127.0149884000,36.6527820900
다바566507,127.0149827000,36.6536835500
다바566508,127.0149771000,36.6545850200
다바566509,127.0149714000,36.6554864800
다바566510,127.0149658000,36.6563879400
다바566511,127.0149601000,36.6572894100
다바566512,127.0149545000,36.6581908700
다바566513,127.0149488000,36.6590923300
다바566514,127.0149432000,36.6599937900
다바566515,127.0149375000,36.6608952600
다바566516,127.0149319000,36.6617967200
다바566517,127.0149262000,36.6626981800
다바566518,127.0149205000,36.6635996400
다바566519,127.0149149000,36.6645011000
다바566520,127.0149092000,36.6654025600
다바566521,127.0149036000,36.6663040300
다바566522,127.0148979000,36.6672054900
다바566523,127.0148923000,36.6681069500
다바566525,127.0148809000,36.6699098700
다바566526,127.0148753000,36.6708113300
다바566527,127.0148696000,36.6717127900
다바567504,127.0161185000,36.6509837100
다바567505,127.0161128000,36.6518851800
다바567506,127.0161072000,36.6527866400
다바567507,127.0161016000,36.6536881000
다바567508,127.0160959000,36.6545895700
다바567509,127.0160903000,36.6554910300
다바567510,127.0160846000,36.6563924900
다바567511,127.0160790000,36.6572939600
다바567512,127.0160733000,36.6581954200
다바567513,127.0160677000,36.6590968800
다바567514,127.0160621000,36.6599983400
다바567515,127.0160564000,36.6608998100
다바567516,127.0160508000,36.6618012700
다바567517,127.0160451000,36.6627027300
다바567518,127.0160395000,36.6636041900
다바567519,127.0160338000,36.6645056600
다바567520,127.0160282000,36.6654071200
다바567521,127.0160226000,36.6663085800
다바567522,127.0160169000,36.6672100400
다바567523,127.0160113000,36.6681115000
다바567524,127.0160056000,36.6690129600
다바567525,127.0160000000,36.6699144200
다바567526,127.0159943000,36.6708158800
다바567527,127.0159887000,36.6717173400
다바567528,127.0159830000,36.6726188100
다바567529,127.0159774000,36.6735202700
다바568504,127.0172372000,36.6509882500
다바568505,127.0172316000,36.6518897200
다바568506,127.0172260000,36.6527911800
다바568507,127.0172204000,36.6536926400
다바568508,127.0172147000,36.6545941100
다바568509,127.0172091000,36.6554955700
다바568510,127.0172035000,36.6563970300
다바568511,127.0171978000,36.6572985000
다바568512,127.0171922000,36.6581999600
다바568513,127.0171866000,36.6591014200
다바568514,127.0171810000,36.6600028900
다바568515,127.0171753000,36.6609043500
다바568516,127.0171697000,36.6618058100
다바568517,127.0171641000,36.6627072700
다바568518,127.0171584000,36.6636087300
다바568519,127.0171528000,36.6645102000
다바568520,127.0171472000,36.6654116600
다바568521,127.0171415000,36.6663131200
다바568522,127.0171359000,36.6672145800
다바568523,127.0171303000,36.6681160400
다바568524,127.0171246000,36.6690175000
다바568525,127.0171190000,36.6699189700
다바568526,127.0171134000,36.6708204300
다바568527,127.0171077000,36.6717218900
다바568528,127.0171021000,36.6726233500
다바568529,127.0170965000,36.6735248100
다바568530,127.0170908000,36.6744262700
다바569504,127.0183560000,36.6509927800
다바569505,127.0183504000,36.6518942500
다바569506,127.0183448000,36.6527957100
다바569507,127.0183392000,36.6536971700
다바569508,127.0183335000,36.6545986400
다바569509,127.0183279000,36.6555001000
다바569510,127.0183223000,36.6564015600
다바569511,127.0183167000,36.6573030300
다바569512,127.0183111000,36.6582044900
다바569513,127.0183055000,36.6591059500
다바569514,127.0182999000,36.6600074200
다바569515,127.0182942000,36.6609088800
다바569516,127.0182886000,36.6618103400
다바569517,127.0182830000,36.6627118000
다바569518,127.0182774000,36.6636132700
다바569519,127.0182718000,36.6645147300
다바569520,127.0182661000,36.6654161900
다바569521,127.0182605000,36.6663176500
다바569522,127.0182549000,36.6672191100
다바569523,127.0182493000,36.6681205700
다바569524,127.0182437000,36.6690220400
다바569525,127.0182381000,36.6699235000
다바569526,127.0182324000,36.6708249600
다바569527,127.0182268000,36.6717264200
다바569528,127.0182212000,36.6726278800
다바569529,127.0182156000,36.6735293400
다바569530,127.0182100000,36.6744308000
다바569531,127.0182043000,36.6753322600
다바570503,127.0194804000,36.6500958400
다바570504,127.0194748000,36.6509973000
다바570505,127.0194692000,36.6518987600
다바570506,127.0194636000,36.6528002300
다바570507,127.0194580000,36.6537016900
다바570508,127.0194524000,36.6546031600
다바570509,127.0194468000,36.6555046200
다바570510,127.0194412000,36.6564060800
다바570511,127.0194356000,36.6573075500
다바570512,127.0194300000,36.6582090100
다바570513,127.0194244000,36.6591104700
다바570514,127.0194187000,36.6600119400
다바570515,127.0194131000,36.6609134000
다바570516,127.0194075000,36.6618148600
다바570517,127.0194019000,36.6627163200
다바570518,127.0193963000,36.6636177900
다바570519,127.0193907000,36.6645192500
다바570520,127.0193851000,36.6654207100
다바570521,127.0193795000,36.6663221700
다바570522,127.0193739000,36.6672236300
다바570523,127.0193683000,36.6681251000
다바570524,127.0193627000,36.6690265600
다바570525,127.0193571000,36.6699280200
다바570526,127.0193515000,36.6708294800
다바570527,127.0193459000,36.6717309400
다바570528,127.0193403000,36.6726324000
다바570529,127.0193347000,36.6735338600
다바570530,127.0193291000,36.6744353200
다바570531,127.0193235000,36.6753367800
다바570532,127.0193178000,36.6762382500
다바570533,127.0193122000,36.6771397100
다바571503,127.0205991000,36.6501003400
다바571504,127.0205935000,36.6510018100
다바571505,127.0205879000,36.6519032700
다바571506,127.0205824000,36.6528047400
다바571507,127.0205768000,36.6537062000
다바571508,127.0205712000,36.6546076700
다바571509,127.0205656000,36.6555091300
다바571510,127.0205600000,36.6564105900
다바571511,127.0205544000,36.6573120600
다바571512,127.0205488000,36.6582135200
다바571513,127.0205432000,36.6591149800
다바571514,127.0205376000,36.6600164500
다바571515,127.0205321000,36.6609179100
다바571516,127.0205265000,36.6618193700
다바571517,127.0205209000,36.6627208300
다바571518,127.0205153000,36.6636223000
다바571519,127.0205097000,36.6645237600
다바571520,127.0205041000,36.6654252200
다바571521,127.0204985000,36.6663266800
다바571522,127.0204929000,36.6672281500
다바571523,127.0204873000,36.6681296100
다바571524,127.0204817000,36.6690310700
다바571525,127.0204761000,36.6699325300
다바571526,127.0204705000,36.6708339900
다바571527,127.0204649000,36.6717354500
다바571528,127.0204594000,36.6726369100
다바571529,127.0204538000,36.6735383700
다바571530,127.0204482000,36.6744398400
다바571531,127.0204426000,36.6753413000
다바571532,127.0204370000,36.6762427600
다바571533,127.0204314000,36.6771442200
다바571534,127.0204258000,36.6780456800
다바572504,127.0217123000,36.6510063100
다바572505,127.0217067000,36.6519077700
다바572506,127.0217012000,36.6528092300
다바572507,127.0216956000,36.6537107000
다바572508,127.0216900000,36.6546121600
다바572509,127.0216844000,36.6555136300
다바572510,127.0216788000,36.6564150900
