"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
15001,53444,127.1268315,36.78585052,"주유소",2
15001,53446,127.1267265,36.78583535,"주유소",2
15001,53445,127.1268353,36.7859329,"주유소",2
15001,53458,127.1298647,36.78565717,"주유소",2
15001,53459,127.1298748,36.78576177,"주유소",2
15001,53457,127.1299791,36.78563688,"주유소",2
15001,53473,127.2092398,36.78145969,"주유소",2
15001,135387,127.2199947,36.77476018,"주유소",2
15001,135388,127.2201318,36.77468064,"주유소",2
15001,135201,127.2250488,36.77148453,"주유소",2
15001,53468,127.2398936,36.76497536,"주유소",2
15001,26374,127.1263824,36.77484826,"주유소",2
2001,26412,127.1306311,36.78862109,"아파트",2
2001,26411,127.1295248,36.78932677,"아파트",2
2001,26409,127.1306541,36.78922328,"아파트",2
2001,26401,127.1306725,36.78984797,"아파트",2
2001,26410,127.1301605,36.78889896,"아파트",2
2001,26400,127.129516,36.78870265,"아파트",2
2001,26406,127.1296138,36.78997539,"아파트",2
2001,26404,127.1301962,36.78951241,"아파트",2
2001,26422,127.1294174,36.78788706,"아파트",2
2001,26425,127.1293534,36.78717661,"아파트",2
2001,26426,127.1299084,36.78676022,"아파트",2
2001,26415,127.1305908,36.7871136,"아파트",2
2001,26419,127.1305137,36.78642026,"아파트",2
2001,26414,127.1300432,36.78746269,"아파트",2
2001,26418,127.1293102,36.78646847,"아파트",2
2001,26417,127.1305656,36.78785665,"아파트",2
15001,26363,127.1284572,36.7892496,"주유소",2
15001,26365,127.1283903,36.78920227,"주유소",2
15001,26366,127.1285222,36.78945475,"주유소",2
15001,26364,127.1283826,36.78947781,"주유소",2
2001,26386,127.1305214,36.79101488,"아파트",2
2001,26384,127.1300758,36.7913133,"아파트",2
2001,26383,127.1298993,36.79065104,"아파트",2
2001,26382,127.1294057,36.79100871,"아파트",2
2001,26391,127.1309485,36.79127859,"아파트",2
2001,26395,127.1308296,36.79061997,"아파트",2
2001,67263,127.1275791,36.79229924,"아파트",2
2001,67265,127.1270682,36.79133062,"아파트",2
2001,67260,127.1272798,36.79179815,"아파트",2
2001,67264,127.1265383,36.79175458,"아파트",2
15001,66596,127.1302749,36.81345604,"주유소",2
15001,66595,127.130146,36.81346529,"주유소",2
15001,66525,127.1302266,36.81684952,"주유소",2
15001,66524,127.1303489,36.81681985,"주유소",2
15001,66526,127.1301419,36.81681012,"주유소",2
15001,66527,127.1302042,36.81676749,"주유소",2
