name,lat,lon,district,type,distype,,
중앙로,36.328664,127.425842,중구,지하철,중구지하철,,
중구청,36.324831,127.419627,중구,지하철,중구지하철,,
서대전네거리,36.322416,127.412518,중구,지하철,중구지하철,,
오룡,36.328582,127.405046,중구,지하철,중구지하철,,
침산교 상류,36.276674,127.397538,중구,이동화장실,중구이동화장실,,
수련교 하류,36.269152,127.392326,중구,이동화장실,중구이동화장실,,
천석교 하류,36.310937,127.442619,중구,이동화장실,중구이동화장실,,
석교상류 제방,36.307096,127.448538,중구,이동화장실,중구이동화장실,,
옥계교하류,36.298398,127.456386,중구,이동화장실,중구이동화장실,,
레포츠공원,36.299771,127.406902,중구,공중화장실,중구공중화장실,,
축구장입구,36.298632,127.408771,중구,공중화장실,중구공중화장실,,
배구장 뒤,36.299877,127.409761,중구,공중화장실,중구공중화장실,,
망향탑,36.308283,127.414514,중구,공중화장실,중구공중화장실,,
대사체육시설,36.311196,217.421951,중구,이동화장실,중구이동화장실,,
보운대,36.311493,127.421977,중구,공중화장실,중구공중화장실,,
숲속공연장 위,36.307986,127.423186,중구,공중화장실,중구공중화장실,,
숲속공연장 입구,36.308214,127.423115,중구,공중화장실,중구공중화장실,,
문화광장1,36.307678,127.410877,중구,공중화장실,중구공중화장실,,
문화광장2,36.307678,127.410877,중구,공중화장실,중구공중화장실,,
숲치유센터,36.308897,127.423481,중구,공중화장실,중구공중화장실,,
충남도시가스 앞,36.346524,127.404341,중구,이동화장실,중구이동화장실,,
중촌근린공원 앞,36.340081,127.403464,중구,이동화장실,중구이동화장실,,
수침교 상류,36.333461,127.397717,중구,이동화장실,중구이동화장실,,
가장교 하류,36.328376,127.391857,중구,이동화장실,중구이동화장실,,
삼부(아) 26동 앞,36.325161,127.389405,중구,이동화장실,중구이동화장실,,
동양파라곤(아) 앞,36.321489,127.387041,중구,이동화장실,중구이동화장실,,
유등교 상류,36.314653,127.387271,중구,이동화장실,중구이동화장실,,
시외버스터미널 앞,36.312311,127.387645,중구,이동화장실,중구이동화장실,,
도마교 상류,36.309953,127.386481,중구,이동화장실,중구이동화장실,,
호남철교 상류 하부,36.308011,127.384729,중구,이동화장실,중구이동화장실,,
버드내교 상부(한밭가든@위),36.304121,127.382091,중구,이동화장실,중구이동화장실,,
복수교 상류,36.298175,127.383558,중구,이동화장실,중구이동화장실,,
안영교 상류,36.286211,127.378664,중구,이동화장실,중구이동화장실,,
유성온천,36.353689,127.341524,유성구,지하철,유성구지하철,,
구암,36.356605,127.33083,유성구,지하철,유성구지하철,,
현충원,36.359021,127.321525,유성구,지하철,유성구지하철,,
월드컵경기장,36.366825,127.317859,유성구,지하철,유성구지하철,,
노은,36.37415,127.317835,유성구,지하철,유성구지하철,,
지족,36.384106,127.319501,유성구,지하철,유성구지하철,,
반석,36.392128,127.314581,유성구,지하철,유성구지하철,,
신구교 하류 축구장,36.436595,127.391419,유성구,이동화장실,유성구이동화장실,,
관평천 합류점 하류,36.431311,127.398349,유성구,이동화장실,유성구이동화장실,,
용신교 상류,36.427454,127.403193,유성구,이동화장실,유성구이동화장실,,
파크골프장(하),36.423433,127.409092,유성구,이동화장실,유성구이동화장실,,
파크골프장(상),36.417709,127.414809,유성구,이동화장실,유성구이동화장실,,
