number,name,subnum,eng,lon,lat,address
101,판암,S3001,Panam,36.316896,127.458264,대전광역시 동구 옥천로 지하162 (판암동)
102,신흥,S3001,Sinheung,36.319652,127.448792,대전광역시 동구 옥천로 지하 70 (판암동)
103,대동,S3001,Dae-dong,36.329532,127.442848,대전광역시 동구 계족로 지하 176 (대동)
104,대전,S3001,Daejeon,36.331583,127.433118,대전광역시 동구 중앙로 지하 218 (중동)
105,중앙로,S3001,Jungangno,36.328664,127.425842,대전광역시 중구 중앙로 지하 145 (은행동)
106,중구청,S3001,Jung-gu Office,36.324831,127.419627,대전광역시 중구 중앙로 지하 71 (선화동)
107,서대전네거리,S3001,Seodaejeon negeori,36.322416,127.412518,대전광역시 중구 계룡로 지하 889(용두동)
108,오룡,S3001,Oryong,36.328582,127.405046,대전광역시 중구 계룡로 지하 793(오류동)
109,용문,S3001,Yongmun,36.338252,127.393317,대전광역시 서구 계룡로 지하 644(용문동)
110,탄방,S3001,Tanbang,36.34544,127.384603,대전광역시 서구 문정로48번길 지하 19(탄방동)
111,시청,S3001,City Hall,36.351673,127.386739,대전광역시 서구 둔산중로 지하 55(둔산동)
112,정부청사,S3001,Government  Complex Daejeon,36.357661,127.381047,대전광역시 서구 한밭대로 지하 744(둔산동)
113,갈마,S3001,Galma,36.357522,127.372632,대전광역시 서구 한밭대로 지하 666(갈마동)
114,월평,S3001,Wolpyeong,36.358272,127.364382,대전광역시 서구 한밭대로 지하 595(월평동)
115,갑천,S3001,Gapcheon,36.354578,127.354467,대전광역시 서구 갑천도시고속도로 지하 1833(월평동)
116,유성온천,S3001,Yuseong Spa,36.353689,127.341524,대전광역시 유성구 계룡로 지하 97(봉명동)
117,구암,S3001,Guam,36.356605,127.33083,대전광역시 유성구 유성대로 703(구암동)
118,현충원,S3001,National  Cemetery,36.359021,127.321525,대전광역시 유성구 현충원로 지하 455(구암동)
119,월드컵경기장,S3001,World Cup  Stadium,36.366825,127.317859,대전광역시 유성구 한밭대로 지하 155(노은동)
120,노은,S3001,Noeun,36.37415,127.317835,대전광역시 유성구 노은로 지하 161(지족동)
121,지족,S3001,Jijok,36.384106,127.319501,대전광역시 유성구 노은로 273(지족동)
122,반석,S3001,Banseok,36.392128,127.314581,대전광역시 유성구 북유성대로 지하 303(반석동)
