type,name,add1,add2,lat,lon
이동화장실,용문교 상류2,대전광역시 서구 용문동 205-4,,36.338576,127.401039
이동화장실,우드볼경기장,대전광역시 서구 용문동 513-3,,36.336655,127.399503
이동화장실,가장교하류 축구장 뒷편,대전광역시 서구 가장동 183-1,,36.329604,127.390718
이동화장실,가장교 하부,대전광역시 서구 가장동 183-1천,,36.328282,127.389131
이동화장실,태평교 하부,대전광역시 서구 변동 26-1,,36.323936,127.386251
이동화장실,천일아트빌(아) 앞,대전광역시 서구 변동 116-1,,36.321617,127.384742
이동화장실,버드내중학교 앞,대전광역시 서구 도마동 508,,36.317568,127.384179
이동화장실,도마교 하류,대전광역시 서구 도마동 508천,,36.312044,127.385703
이동화장실,도마교 입구,대전광역시 서구 도마동 5-4천 5-2,,36.311311,127.385303
이동화장실,버드내교 상류 제방,대전광역시 서구 복수동 387,,36.304123,127.380583
이동화장실,복수교 상류 제방,대전광역시 서구 복수동 302-43,,36.299003,127.382341
이동화장실,제1사정교 상류,대전광역시 서구 복수동 53-3,,36.293834,127.378263
이동화장실,침산교 상류,대전광역시 중구 침산동 5-2,,36.276674,127.397538
이동화장실,수련교 하류,대전광역시 중구 침산동 158-11,,36.269152,127.392326
이동화장실,가야장갑 앞,대전광역시 대덕구 오정동 763,,36.342109,127.414263
이동화장실,우성사료물류 앞,대전광역시 동구 천동 121,,36.312942,127.440799
이동화장실,석교상류 제방,대전광역시 동구 가오동 392-17,,36.307131,127.449492
이동화장실,천석교 하류,대전광역시 중구 석교동 135-1,,36.310937,127.442619
이동화장실,석교상류 제방,대전광역시 중구 호동 20-1,,36.307096,127.448538
이동화장실,옥계교하류,대전광역시 중구 옥계동 194-3,,36.298398,127.456386
이동화장실,에코공원 내,대전광역시 대덕구 신탄진동 4-2,,36.448896,127.443598
공중화장실,레포츠공원,대전광역시 중구 사정동4,,36.299771,127.406902
공중화장실,축구장입구,대전광역시 중구 사정동3-4,,36.298632,127.408771
공중화장실,배구장 뒤,대전광역시 중구 사정동 산1,,36.299877,127.409761
공중화장실,망향탑,대전광역시 중구 문화동 산7,,36.308283,127.414514
이동화장실,대사체육시설,대전광역시 중구 대사동 산3,,36.311196,217.421951
공중화장실,보운대,대전광역시 중구 대사동 산3-45,,36.311493,127.421977
공중화장실,숲속공연장 위,대전광역시 중구 대사동 산3,,36.307986,127.423186
공중화장실,숲속공연장 입구,대전광역시 중구 대사동 산3-71,,36.308214,127.423115
공중화장실,문화광장1,대전광역시 중구 문화동 43,,36.307678,127.410877
공중화장실,문화광장2,대전광역시 중구 문화동 43,,36.307678,127.410877
공중화장실,숲치유센터,대전광역시 중구 대사동 190-14,,36.308897,127.423481
공중화장실,비래정 앞,대전광역시 대덕구 비래동 산28-6,,36.357257,127.460174
공중화장실,관리사A,대전광역시 대덕구 비래동 산26-27,,36.358301,127.458505
공중화장실,관리사B,대전광역시 동구 세천동 358,,36.330173,127.484626
공중화장실,세천주차장,대전광역시 동구 삼정동 3-11,,36.330751,127.480535
공중화장실,생태공원,대전광역시 동구 세천동 369,,36.330049,127.482423
공중화장실,식장산정상,대전광역시 동구 세천동 산43-3,,36.304297,127.484101
공중화장실,봉황마당,대전광역시 대덕구 읍내동 산1-9,,36.382002,127.437474
공중화장실,용화사 입구,대전광역시 대덕구 읍내동 산1-9,,36.382002,127.437474
공중화장실,장동사무실 옆,대전광역시 대덕구 장동 산63,,36.405691,127.442199
공중화장실,물놀이장,대전광역시 대덕구 장동 486,,36.405392,127.445632
공중화장실,다목적광장,대전광역시 대덕구 장동 산59,,36.401128,127.451235
공중화장실,공연장,대전광역시 대덕구 장동 산59,,36.401128,127.451235
공중화장실,산성입구,대전광역시 대덕구 장동 산82,,36.396316,127.449379
공중화장실,동원 A 화장실 (암석원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396 한밭수목원,36.370368,127.391385
공중화장실,동원 B 화장실(약용식물원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 397 한밭수목원,36.367718,127.390276
공중화장실,서원 A 화장실(숲속교실),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 398 한밭수목원,36.370195,127.385609
공중화장실,서원 B 화장실(작은문고),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 399 한밭수목원,36.369919,127.383701
공중화장실,서원 C 화장실(공작교실),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 400 한밭수목원,36.367718,127.384354
개방화장실,전시온실,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 401 한밭수목원,36.366583,127.391454
개방화장실,연구관리동(직원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 402 한밭수목원,36.366936,127.391179
개방화장실,연구관리동(일반),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 403 한밭수목원,36.366936,127.391179
