"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"이동화장실",용문교 상류2,대전광역시 서구 용문동 205-4,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2013-07,36.338576,127.401039,2017-01-01
"이동화장실",우드볼경기장,대전광역시 서구 용문동 513-3,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-07,36.336655,127.399503,2017-01-01
"이동화장실",가장교하류 축구장 뒷편,대전광역시 서구 가장동 183-1,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-07,36.329604,127.390718,2017-01-01
"이동화장실",가장교 하부,대전광역시 서구 가장동 183-1천,,N,0,1,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2015-04,36.328282,127.389131,2017-01-01
"이동화장실",태평교 하부,대전광역시 서구 변동 26-1,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-05,36.323936,127.386251,2017-01-01
"이동화장실",천일아트빌(아) 앞,대전광역시 서구 변동 116-1,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-07,36.321617,127.384742,2017-01-01
"이동화장실",버드내중학교 앞,대전광역시 서구 도마동 508,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-01,36.317568,127.384179,2017-01-01
"이동화장실",도마교 하류,대전광역시 서구 도마동 508천,,N,0,1,1,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-02,36.312044,127.385703,2017-01-01
"이동화장실",도마교 입구,대전광역시 서구 도마동 5-4천 5-2,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-03,36.311311,127.385303,2017-01-01
"이동화장실",버드내교 상류 제방,대전광역시 서구 복수동 387,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2010-07,36.304123,127.380583,2017-01-01
"이동화장실",복수교 상류 제방,대전광역시 서구 복수동 302-43,,N,1,1,0,0,0,0,0,1,0,하천관리사업소,042-270-8431,24시간,2007-03,36.299003,127.382341,2017-01-01
"이동화장실",제1사정교 상류,대전광역시 서구 복수동 53-3,,N,0,1,1,0,0,0,0,1,1,하천관리사업소,042-270-8431,24시간,2011-03,36.293834,127.378263,2017-01-01
"이동화장실",침산교 상류,대전광역시 중구 침산동 5-2,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2003-03,36.276674,127.397538,2017-01-01
"이동화장실",수련교 하류,대전광역시 중구 침산동 158-11,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2013-03,36.269152,127.392326,2017-01-01
"이동화장실",가야장갑 앞,대전광역시 대덕구 오정동 763,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2014-03,36.342109,127.414263,2017-01-01
"이동화장실",우성사료물류 앞,대전광역시 동구 천동 121,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2014-07,36.312942,127.440799,2017-01-01
"이동화장실",석교상류 제방,대전광역시 동구 가오동 392-17,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2008-06,36.307131,127.449492,2017-01-01
"이동화장실",천석교 하류,대전광역시 중구 석교동 135-1,,N,0,0,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2016-06,36.310937,127.442619,2017-01-01
"이동화장실",석교상류 제방,대전광역시 중구 호동 20-1,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-08,36.307096,127.448538,2017-01-01
"이동화장실",옥계교하류,대전광역시 중구 옥계동 194-3,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-02,36.298398,127.456386,2017-01-01
"이동화장실",에코공원 내,대전광역시 대덕구 신탄진동 4-2,,N,1,3,1,0,0,0,3,0,0,하천관리사업소,042-270-8431,24시간,2012-02,36.448896,127.443598,2017-01-01
"공중화장실",레포츠공원,대전광역시 중구 사정동4,,N,2,4,1,0,1,0,4,1,1,대전광역시 공원관리사업소,042-270-7865,연중무휴,2005-03,36.299771,127.406902,2017-01-01
"공중화장실",축구장입구,대전광역시 중구 사정동3-4,,N,2,4,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7866,연중무휴,1989-01,36.298632,127.408771,2017-01-01
"공중화장실",배구장 뒤,대전광역시 중구 사정동 산1,,N,3,7,1,0,0,0,5,1,0,대전광역시 공원관리사업소,042-270-7867,연중무휴,2002-02,36.299877,127.409761,2017-01-01
"공중화장실",망향탑,대전광역시 중구 문화동 산7,,N,1,2,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7870,연중무휴,2005-01,36.308283,127.414514,2017-01-01
"이동화장실",대사체육시설,대전광역시 중구 대사동 산3,,N,2,3,0,0,0,0,4,0,0,대전광역시 공원관리사업소,042-270-7871,연중무휴,1995-08,36.311196,217.421951,2017-01-01
"공중화장실",보운대,대전광역시 중구 대사동 산3-45,,N,3,4,1,0,0,0,6,1,0,대전광역시 공원관리사업소,042-270-7872,연중무휴,2011-01,36.311493,127.421977,2017-01-01
"공중화장실",숲속공연장 위,대전광역시 중구 대사동 산3,,N,1,2,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7873,연중무휴,2005-03,36.307986,127.423186,2017-01-01
"공중화장실",숲속공연장 입구,대전광역시 중구 대사동 산3-71,,N,2,5,1,0,1,0,6,1,1,대전광역시 공원관리사업소,042-270-7874,연중무휴,2005-03,36.308214,127.423115,2017-01-01
"공중화장실",문화광장1,대전광역시 중구 문화동 43,,N,1,1,0,0,0,0,1,0,0,대전광역시 공원관리사업소,042-270-7876,연중무휴,2007-06,36.307678,127.410877,2017-01-01
"공중화장실",문화광장2,대전광역시 중구 문화동 43,,N,1,1,0,0,0,0,1,0,0,대전광역시 공원관리사업소,042-270-7877,연중무휴,2016-10,36.307678,127.410877,2017-01-01
"공중화장실",숲치유센터,대전광역시 중구 대사동 190-14,,N,3,6,1,0,1,0,8,1,1,대전광역시 공원관리사업소,042-270-7878,연중무휴,2014-02,36.308897,127.423481,2017-01-01
"공중화장실",비래정 앞,대전광역시 대덕구 비래동 산28-6,,N,3,6,1,0,1,0,7,1,1,대전광역시 공원관리사업소,042-270-7879,연중무휴,2005-03,36.357257,127.460174,2017-01-01
"공중화장실",관리사A,대전광역시 대덕구 비래동 산26-27,,N,4,6,1,0,0,0,8,1,1,대전광역시 공원관리사업소,042-270-7880,연중무휴,2007-01,36.358301,127.458505,2017-01-01
"공중화장실",관리사B,대전광역시 동구 세천동 358,,N,4,6,1,0,0,0,8,1,1,대전광역시 공원관리사업소,042-270-7881,연중무휴,2007-01,36.330173,127.484626,2017-01-01
