집계년월,시군명,시설번호,놀이시설명,설치일자,설치장소,민간공공구분명,실내외구분명,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도,Ride_risk,accident
201606,가평군,553157,가평국방시설본부105동뒤놀이터,20150915,주택단지,민간,실외,12438,경기도 가평군 조종면 현리 521-4번지,경기도 가평군 조종면 비룡로 2294,127.3530417,37.80536946,0.3,0.06
201606,가평군,553752,청평수련원 미사리로 267-33,20151023,주택단지,민간,실외,12461,경기도 가평군 설악면 송산리 432-1번지 천주 청평수련원,경기도 가평군 설악면 미사리로 267-33,127.520528,37.69272004,0.3,0.06
201606,가평군,554054,맹호어린이집 실외 조합놀이대,20151116,어린이집,민간,실외,12438,경기도 가평군 조종면 현리 413-11번지 맹호아파트 맹호어린이집,,127.350821,37.81367371,0.2,0.035
201606,가평군,551421,또올래캠핑장놀이터,20150410,도시공원,민간,실외,12400,경기도 가평군 북면 적목리 119-1번지,경기도 가평군 북면 가화로 2745-70,127.4475796,37.97465897,0.4,0.13
201606,가평군,544152,코아루아파트(104동)놀이시설,20140219,주택단지,민간,실외,12466,경기도 가평군 설악면 선촌리 470-6번지 도로명주소 미검색/가평군 설악면 선촌리 산33-19],경기도 가평군 설악면 탐선길 3,127.4810052,37.67700303,0.3,0.06
201606,가평군,538766,kids cafe Two B's,20130320,놀이제공영업소,민간,실내,12454,경기도 가평군 청평면 청평리 74-88번지,경기도 가평군 청평면 강변나루로 74-6,127.4183092,37.73199159,0.9,0.3
201606,가평군,535451,청수아파트 놀이터,20120911,주택단지,민간,실외,12454,경기도 가평군 청평면 청평리 634-2번지 청수아파트,,127.4108102,37.73188263,0.3,0.06
201606,가평군,530774,청평삼성쉐르빌아파트107동앞놀이터,20120502,주택단지,민간,실외,12454,경기도 가평군 청평면 청평리 837번지 청평삼성쉐르빌아파트,경기도 가평군 청평면 강변나루로 54,127.416788,37.73179873,0.3,0.06
201606,가평군,529983,청아빌라 놀이터,20110908,주택단지,민간,실외,12461,경기도 가평군 설악면 송산리 697번지 청아빌라 청아빌라 놀이터,경기도 가평군 설악면 미사리로 238-50,127.5143298,37.68499887,0.3,0.06
201606,가평군,529312,사무엘어린이집놀이터,20120201,어린이집,민간,실외,,경기도 가평군 가평읍 석봉로191번길 52사무엘어린이집,,127.5040869,37.83225053,0.2,0.035
201606,가평군,525084,또래아이사랑어린이집 실외놀이터,20021002,어린이집,민간,실외,12437,경기도 가평군 조종면 현리 232-2번지 임성아파트,,127.3481517,37.82331262,0.2,0.035
201606,가평군,520916,경남아너스빌,20080208,주택단지,민간,실외,12451,경기도 가평군 청평면 청평리 306번지 청평경남아너스빌,경기도 가평군 청평면 골안길 7-28,127.421452,37.74216121,0.3,0.06
201606,가평군,520913,파란채아파트,20071101,주택단지,민간,실외,12414,경기도 가평군 가평읍 읍내리 771-1번지 가평에이원파란채아파트,,127.506248,37.83759052,0.3,0.06
201606,가평군,520909,우림필유아파트102동어린이놀이터,20061226,주택단지,민간,실외,12416,경기도 가평군 가평읍 대곡리 360번지 우림필유아파트,경기도 가평군 가평읍 문화로 112,127.510273,37.82317633,0.3,0.06
201606,가평군,42218,목동도시공원 놀이터,20100608,도시공원,공공,실외,,경기도 가평군 북면 보안벚꽃길 4목동도시공원,,127.5482903,37.88895285,0.4,0.13
