,일시,최저기온,최고기온,날씨
0,2020-09-04 00:00,20,28,구름많음
0,2020-09-04 12:00,20,28,맑음
0,2020-09-05 00:00,20,29,구름많음
0,2020-09-05 12:00,20,29,구름많음
0,2020-09-06 00:00,21,29,흐림
0,2020-09-06 12:00,21,29,흐림
0,2020-09-07 00:00,21,29,흐림
0,2020-09-07 12:00,21,29,구름많음
0,2020-09-08 00:00,21,28,구름많음
0,2020-09-08 12:00,21,28,구름많음
0,2020-09-09 00:00,21,28,구름많음
0,2020-09-10 00:00,21,28,구름많음
0,2020-09-11 00:00,22,28,구름많음
0,2020-09-04 00:00,21,27,구름많음
0,2020-09-04 12:00,21,27,맑음
0,2020-09-05 00:00,21,27,구름많음
0,2020-09-05 12:00,21,27,구름많음
0,2020-09-06 00:00,21,27,흐림
0,2020-09-06 12:00,21,27,흐림
0,2020-09-07 00:00,22,26,흐림
0,2020-09-07 12:00,22,26,구름많음
0,2020-09-08 00:00,21,27,구름많음
0,2020-09-08 12:00,21,27,구름많음
0,2020-09-09 00:00,21,27,구름많음
0,2020-09-10 00:00,21,27,구름많음
0,2020-09-11 00:00,22,27,구름많음
0,2020-09-04 00:00,20,28,구름많음
0,2020-09-04 12:00,20,28,맑음
0,2020-09-05 00:00,20,29,구름많음
0,2020-09-05 12:00,20,29,구름많음
0,2020-09-06 00:00,20,29,흐림
0,2020-09-06 12:00,20,29,흐림
0,2020-09-07 00:00,21,29,흐림
0,2020-09-07 12:00,21,29,구름많음
0,2020-09-08 00:00,21,29,구름많음
0,2020-09-08 12:00,21,29,구름많음
0,2020-09-09 00:00,21,29,구름많음
0,2020-09-10 00:00,20,29,구름많음
0,2020-09-11 00:00,21,28,구름많음
0,2020-09-04 00:00,18,28,구름많음
0,2020-09-04 12:00,18,28,맑음
0,2020-09-05 00:00,18,28,구름많음
0,2020-09-05 12:00,18,28,구름많음
0,2020-09-06 00:00,18,27,흐림
0,2020-09-06 12:00,18,27,흐림
0,2020-09-07 00:00,18,28,흐림
0,2020-09-07 12:00,18,28,구름많음
0,2020-09-08 00:00,19,28,구름많음
0,2020-09-08 12:00,19,28,구름많음
0,2020-09-09 00:00,19,28,구름많음
0,2020-09-10 00:00,19,27,구름많음
0,2020-09-11 00:00,19,27,구름많음
0,2020-09-04 00:00,18,28,구름많음
0,2020-09-04 12:00,18,28,맑음
0,2020-09-05 00:00,17,28,구름많음
0,2020-09-05 12:00,17,28,구름많음
0,2020-09-06 00:00,18,27,흐림
0,2020-09-06 12:00,18,27,흐림
0,2020-09-07 00:00,19,27,흐림
0,2020-09-07 12:00,19,27,구름많음
0,2020-09-08 00:00,19,28,구름많음
0,2020-09-08 12:00,19,28,구름많음
0,2020-09-09 00:00,19,28,구름많음
0,2020-09-10 00:00,19,28,구름많음
0,2020-09-11 00:00,19,28,구름많음
0,2020-09-04 00:00,19,28,구름많음
0,2020-09-04 12:00,19,28,맑음
0,2020-09-05 00:00,18,29,구름많음
0,2020-09-05 12:00,18,29,구름많음
0,2020-09-06 00:00,19,28,흐림
0,2020-09-06 12:00,19,28,흐림
0,2020-09-07 00:00,20,28,흐림
0,2020-09-07 12:00,20,28,구름많음
0,2020-09-08 00:00,20,29,구름많음
0,2020-09-08 12:00,20,29,구름많음
0,2020-09-09 00:00,20,29,구름많음
0,2020-09-10 00:00,20,27,구름많음
0,2020-09-11 00:00,21,27,구름많음
0,2020-09-04 00:00,20,24,구름많음
0,2020-09-04 12:00,20,24,맑음
0,2020-09-05 00:00,20,25,구름많음
0,2020-09-05 12:00,20,25,구름많음
0,2020-09-06 00:00,20,27,흐림
0,2020-09-06 12:00,20,27,흐림
0,2020-09-07 00:00,19,25,흐림
0,2020-09-07 12:00,19,25,구름많음
0,2020-09-08 00:00,19,24,구름많음
0,2020-09-08 12:00,19,24,구름많음
0,2020-09-09 00:00,19,25,구름많음
