순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
1,국외연수 사전심의 등을 통한 실효성 제고 및 예산절감 방안,사이버 반상회로 반상회를 활성화 한다,2016-02-22,,2016-03-08,행정지원과,처리완료,부안읍
2,익산유기동물보호소,유기동물보호소이면서 보호는 커녕 애들을 학대하는 곳으로 보입니다 사진 보시고 시정해주세요 이런 곳에서 동물들이 잠시라도 보호받고있다니 참 안타깝습니다.,2016-11-09,2016-11-09,2016-11-10,축산과,처리완료,부안읍
3,익산 유기견보호소,"저희는 컨테이너 만드는 (주)디아이티이앤지 회사입니다.컨테이너는 철자재를 이용해 만들고 나중에 녹방지를 위해 페인트를 도장하는데, 저희 공장에 도장 설비가 없어 아직은 군산에 있는 페인트 전문회사에서 도장을 하고 다시 익산으로 가져오는데 번거롭고 가격도 비싸 문제가 많습니다.그래서 저희공장(밀폐됨) 내부에서 칸막이를 설치해서 친환경페인트로 도장할려고 하는데 법적으로 문제가 되나요?답변 회신 바랍니다.",2016-11-08,2016-11-08,2016-11-10,축산과,처리완료,주산면
4,제일3차 앞에 노점좀 단속바랍니다,"안녕하세요 저는 군산대에 재학중인 학생입니다아침마다 터미널에서 군산대학교로 가는 표를 끊어서 등교를 하는데 표끊어주시는 직원분께서 학생증을 제시해달라고 하십니다 그렇지 않으면 학생요금이 아닌 군산으로 가는 요금으로 받으시는데요가끔 지갑을 두고왔을때나 일학년 신입생들은 플라스틱 학생증 발급이 늦어서 제시하지 못할때가 빈번하고 그 문제로 큰소리를 내며 직원분들과 싸우는 일도 제가 몇번 목격했습니다군산대 학생이라면 플라스틱 학생증은 없을지언정 모바일 학생증은 다들 가지고 있는데요 사진과 군산대학생임을 증명하는 조건이 다 나와있는데 직원분들께서는 모바일 학생증을 받아주시지 않으세요 학생증제시하라고 하는게 학생임을 증명하면 학생요금으로 끊어주겠다 라는 말이 아닌가요? 모바일 학생증도 학교에서 사용하라고 만들어 준거고 학교내에서나 군산내 여러기관에서도 받아주고 이용하는데 익산터미널에서만 유독 플라스틱 학생증만 요구하십니다 학생요금은 1900원, 학생증이 없을때 그냥 끊어주시는 3100원 이 차이는 1200원으로 작다고 생각할수 있지만 매일 터미널에서 등교하는 아직 20~25세인 학생들에게는 부담이 될수도 있습니다 또한 제가 학생임에도 학생임을 증명하겠다고 하여도 학생요금을 지불할수 없다는게 한탄스럽습니다한번 확인부탁드리고 시정이 가능하면 시정부탁드리겠습니다감사합니다",2016-11-24,2016-11-24,2016-12-01,도로관리과,처리완료,부안읍
5,익산시 배구대표,배산부영2차 아파트에 새벽에 녹색 청소차가 와서 차로 쓰레기통 들어올리면서 윙윙거리는 엔진소리에 주민들이 새벽잠에서 깨는 고통을 겪고 있습니다. 뭐 그리 급한것도 아닌데 왜 새벽부터 와서 시끄럽게 하는지 도무지 이해할수가 없습니다. 7시 이후에 올수 있도록 시정 바랍니다. 주민들이 여러번 진정을 했으나 시정되지 않고 주민들을 괴롭히고 있습니다. 자기들 시원할때 일할려고 여러사람 잠못자게 해서야 되겠습니까?,2016-09-01,2016-09-01,2016-09-05,체육진흥과,처리완료,부안읍
6,민원 처리부탁 드립니다.,9월30일 선유도 여행을 위해 야미도 유람선을 이용하였습니다하지만 돌아오는길에 출항시간이 시간을 지키지않는 다른 승객들때문에(동백관광팀) 실제 출항시간보다 지연되어예정된 저희가족 일정에 차질을 주었습니다출항시간은 선장님께서 분명히 고지하였으며 승선 하라는 방송을 수차례 하였음에도 승객의 실수를 기다리느라다른 선장님과 먼저 승선하여 기다리신 고객이 피해를보는것은 맞지않다고 생각합니다출항시간을 지키지 않는 고객은 본인의 잘못이므로 예정된 입출항 시간을 반드시 지켜주십시요,2017-10-15,2017-10-15,2017-10-18,건축경관과,처리완료,부안읍
7,재활용 쓰레기 분류 기준!,"안녕하세요~신동 원룸 밀집 지역에 사는 사람입니다!저는 모 연립에 살고 있는데 주위 원룸 몇몇 주인들이 자기 집앞에 쓰레기를 안 내 놓고 저희 연립 앞으로 끌어다 놓질 않나..심지어는 주인 따라서 거기 원룸 학생들까지 저희 연립 앞에 쓰레기를 버립니다!주택가 공동으로 쓰레기 버리는 곳은 불법 투기 된 쓰레기로 몸살을 앓고 있는데요..솔직히 요즘 세상에 이웃간에도 인사도 잘 안 하는데 어디 원룸 주인인지 얼굴만 아는 터라 왜 여기까지 쓰레기를 가지고 오냐는 말도 못하겠고 그냥 제가 묵묵히 저희 연립 앞 쓰레기들을 나름 열심히 치우고 있는데요..일반쓰레기 수거하시는 분들이 제가 나름 열심히 재활용으로 분류 해 놓은 쓰레기를 가져 가시더라구요..가만히 지켜 보니 비닐류하고, 만두 포장 해 주는 스티로폼 얇은 거?, 분식 집에서 국물 담아 줄 때 쓰는 그릇 모양 스티로폼, 과일 박스 안 스티로폼..(이런 것들은 잘 부서져서 재활용이 안 되서 가져 가시는 건지??), 그리고 야구르트 병, 음료-쥬스, 커피 플라스틱 용기, 음식 포장 용기(제가 음식물만 부어서 비워 놓기는 했어요..-양념이 묻은 더러운 거라 그런 것 같기도 하고..)이렇게는 일반 쓰레기 수거 하시는 직원분이 가져 가시더라구요..이런 것들은 재활용이 안 되서 그러시는 것 같은데 맞나요?위의 것들은 재활용이 안 되는 거면 굳이 걸러내지 않고 하려구요..ㅠㅠ그리고 한가지 더 궁금한 점은 원룸 주인이 자기네 원룸에서 살고 있는 학생이 원룸 앞에 버린 종량제 봉투에 담기지 않은 쓰레기를 가지고 저희 연립 앞 쓰레기장에 가지고 오는 걸 불법투기로 신고할 수 있나요?원룸 주인이 버린 건 아니고 학생이 버렸던 걸 가지고 옮긴 건 처벌 대상이 아닌지?그 원룸 앞 쓰레기 사진 찍은 후 그것이 저희 연립 앞으로 옮겨진 걸 사진 찍어서 신고하는 건 의미가 없겠죠? ㅡㅡ;;    ",2018-04-20,2018-04-20,2018-04-23,청소자원과,처리완료,계화면
8,"상장과 표창장 시,구,군민대상 채점시 개혁한다","상장과 표창장 시,구,군민대상 채점시 개혁한다",2016-02-14,,,기획예산과,처리완료,백산면
9,인북로13길 16-6,붓송동  화뮬떠미날 사거리  ?과속및 신호 위반 자진곳입니?옆에 아파트 단지도있? 과속으로 소음이 심합니다?? 전자랜드에서  우남 방향으로  설치 부탁드립니다??,2018-06-22,2018-06-22,2018-06-25,청소자원과,처리완료,부안읍
10,장기미집행도시계획에 대한 조치,비내린다고 몰래 똥버리나보네,2018-08-21,2018-08-21,2018-08-24,도시재생과,처리완료,부안읍
