"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
4023,53456,127.1303385,36.78570314,"복합유통.제공업소",3
6203,88467,127.1325825,36.80322899,"대형판매점",3
6203,88466,127.1322246,36.80307266,"대형판매점",3
6203,88465,127.1322935,36.80348828,"대형판매점",3
6204,83815,127.1343145,36.81506835,"대형점",3
6203,74645,127.1649112,36.79934656,"대형판매점",3
6203,141621,127.1654446,36.79922444,"대형판매점",3
6203,74644,127.1661319,36.79892594,"대형판매점",3
4023,66745,127.1385621,36.76366393,"복합유통.제공업소",3
4023,66744,127.1386747,36.76367954,"복합유통.제공업소",3
4023,52481,127.2295017,36.74333613,"복합유통.제공업소",3
6203,32203,127.1437668,36.80111455,"대형판매점",3
6203,32197,127.1442212,36.80114536,"대형판매점",3
6203,8575,127.1220162,36.78856581,"대형판매점",3
6203,48071,127.1583018,36.80718844,"대형판매점",3
4023,48151,127.1590407,36.80604295,"복합유통.제공업소",3
7101,136560,127.1792761,36.77548822,"종합병원",3
4023,48660,127.2110664,36.77463223,"복합유통.제공업소",3
4023,48659,127.2109739,36.77450103,"복합유통.제공업소",3
4023,48657,127.2109501,36.77475927,"복합유통.제공업소",3
4023,48945,127.2524447,36.77015457,"복합유통.제공업소",3
4023,73931,127.1393401,36.77877512,"복합유통.제공업소",3
6203,58496,127.1425866,36.78225702,"대형판매점",3
6203,27838,127.1533896,36.79703026,"대형판매점",3
7101,74450,127.1726765,36.841687,"종합병원",3
7101,74480,127.172421,36.8432758,"종합병원",3
7101,74449,127.1741763,36.8410473,"종합병원",3
6204,10345,127.1401745,36.8086396,"대형점",3
6204,2301,127.2033677,36.77095021,"대형점",3
4023,16217,127.1626228,36.79707841,"복합유통.제공업소",3
4023,16219,127.162436,36.79706419,"복합유통.제공업소",3
4023,16215,127.1626159,36.79716409,"복합유통.제공업소",3
4023,16249,127.1627941,36.79717622,"복합유통.제공업소",3
4023,16218,127.1624336,36.79715845,"복합유통.제공업소",3
4023,16216,127.1623826,36.79709771,"복합유통.제공업소",3
6203,41656,127.143619,36.80077694,"대형판매점",3
6203,46307,127.1441025,36.80087665,"대형판매점",3
6203,27135,127.1446753,36.80079603,"대형판매점",3
6204,21376,127.3449557,36.7762907,"대형점",3
4023,26291,127.1537503,36.82059258,"복합유통.제공업소",3
4023,6440,127.1678718,36.7788188,"복합유통.제공업소",3
7101,38544,127.1359251,36.80216381,"종합병원",3
7101,38623,127.134922,36.80217117,"종합병원",3
7101,38622,127.1345013,36.80235361,"종합병원",3
