"gid","주차장","건물1","건물2","건물3","관공서","생산가능인구","전기차","충전소","교통량","유동인구","경도","위도","거리_전기차","거리_충전소","거리_교통량"
"다바928626",0,0,0,0,0,0,0,0,0,0,127.4198903,36.76192104,0,0,0
"다바928625",0,0,0,0,0,0,0,0,0,137.26,127.4198913,36.76101956,0,0,0
"다바928624",0,5,0,0,0,0,0,0,0,66.22,127.4198922,36.76011808,0,0,0
"다바928623",0,0,0,0,0,0,0,0,0,0,127.4198932,36.7592166,0,0,0
"다바928622",0,0,0,0,0,0,0,0,0,40.98,127.4198941,36.75831512,0,0,0
"다바928621",0,0,0,0,0,0,0,0,0,0,127.419895,36.75741365,0,0,0
"다바927627",0,0,0,0,0,0,0,0,0,0,127.418769,36.76282176,0,0,0
"다바927626",0,0,0,0,0,0,0,0,0,87.02,127.4187699,36.76192028,0,0,0
"다바927625",0,0,0,0,0,0,0,0,0,0,127.4187709,36.7610188,0,0,0
"다바927624",0,3,0,0,0,0,0,0,0,31,127.4187718,36.76011732,0,0,0
"다바927623",0,0,0,0,0,0,0,0,0,30.5,127.4187728,36.75921584,0,0,0
"다바927622",0,0,0,0,0,0,0,0,0,1.56,127.4187737,36.75831437,0,0,0
"다바927621",0,0,0,0,0,0,0,0,0,5.84,127.4187747,36.75741289,0,0,0
"다바926628",0,0,0,0,0,0,0,0,0,0,127.4176476,36.76372247,0,0,0
"다바926627",0,2,0,0,0,0,0,0,0,0,127.4176486,36.76282099,0,0,0
"다바926626",0,0,0,0,0,0,0,0,0,12.56,127.4176495,36.76191951,0,0,0
"다바926625",0,0,0,0,0,0,0,0,0,0,127.4176505,36.76101803,0,0,0
"다바926624",0,0,0,0,0,0,0,0,0,0,127.4176514,36.76011655,0,0,0
"다바926623",0,0,0,0,0,0,0,0,0,0,127.4176524,36.75921507,0,0,0
"다바926622",0,1,0,0,0,0,0,0,0,1.5,127.4176534,36.7583136,0,0,0
"다바926621",0,0,0,0,0,0,0,0,0,19.1,127.4176543,36.75741212,0,0,0
"다바926620",0,0,0,0,0,0,0,0,0,0,127.4176553,36.75651064,0,0,0
"다바925632",0,0,0,0,0,0,0,0,0,0,127.4165232,36.7673276,0,0,0
"다바925631",0,0,0,0,0,0,0,0,0,34.43,127.4165242,36.76642612,0,0,0
"다바925630",0,0,0,0,0,0,0,0,0,33.72,127.4165252,36.76552464,0,0,0
"다바925629",0,0,0,0,0,0,0,0,0,0,127.4165262,36.76462316,0,0,0
"다바925628",0,1,0,0,0,0,0,0,0,0,127.4165271,36.76372168,0,0,0
"다바925627",0,6,0,0,0,0,0,0,0,0.27,127.4165281,36.76282021,0,0,0
"다바925626",0,0,0,0,0,0,0,0,0,0,127.4165291,36.76191873,0,0,0
"다바925625",0,0,0,0,0,0,0,0,0,0,127.4165301,36.76101725,0,0,0
"다바925624",0,0,0,0,0,0,0,0,0,0,127.4165311,36.76011577,0,0,0
"다바925623",0,0,0,0,0,0,0,0,0,0,127.416532,36.75921429,0,0,0
"다바925622",0,1,0,0,0,0,0,0,0,16.04,127.416533,36.75831281,0,0,0
"다바925621",0,0,0,0,0,0,0,0,0,10.27,127.416534,36.75741134,0,0,0
"다바925620",0,0,0,0,0,0,0,0,0,0,127.416535,36.75650986,0,0,0
"다바924633",0,0,0,0,0,0,0,0,0,0,127.4154018,36.76822828,0,0,0
"다바924632",0,0,0,0,0,0,0,0,0,40.94,127.4154027,36.7673268,0,0,0
"다바924631",0,1,0,0,0,0,0,0,0,0,127.4154037,36.76642533,0,0,0
"다바924630",0,0,0,0,0,0,0,0,0,0,127.4154047,36.76552385,0,0,0
"다바924629",0,9,0,0,0,0,0,0,0,0,127.4154057,36.76462237,0,0,0
"다바924628",0,22,0,0,0,10,0,0,0,24.31,127.4154067,36.76372089,0,0,0
"다바924627",0,0,0,0,0,0,0,0,0,2.14,127.4154077,36.76281942,0,0,0
"다바924626",0,0,0,0,0,0,0,0,0,0,127.4154087,36.76191794,0,0,0
"다바924625",0,0,0,0,0,0,0,0,0,0,127.4154097,36.76101646,0,0,0
"다바924624",0,0,0,0,0,0,0,0,0,0,127.4154107,36.76011498,0,0,0
"다바924623",0,0,0,0,0,0,0,0,0,0,127.4154117,36.7592135,0,0,0
"다바924622",0,0,0,0,0,0,0,0,0,75.46,127.4154126,36.75831202,0,0,0
"다바924621",0,0,0,0,0,0,0,0,0,79.68,127.4154136,36.75741054,0,0,0
"다바924620",0,0,0,0,0,0,0,0,0,23.99,127.4154146,36.75650907,0,0,0
"다바923637",0,0,0,0,0,0,0,0,0,25.16,127.4142772,36.77183339,0,0,0
"다바923636",0,0,0,0,0,0,0,0,0,0,127.4142782,36.77093191,0,0,0
"다바923635",0,0,0,0,0,0,0,0,0,0,127.4142792,36.77003043,0,0,0
