"X_COORD","Y_COORD","sum_Total"
"956333.991787","1850829.14739",2.3
"956333.991787","1850879.14739",2.48
"956333.991787","1850929.14739",1.46
"956383.991787","1850829.14739",1.16
"956383.991787","1850879.14739",1.2
"956383.991787","1850979.14739",9.74
"956383.991787","1851029.14739",0.68
"956433.991787","1850829.14739",0.41
"956433.991787","1851029.14739",17.63
"956483.991787","1850829.14739",1.44
"956533.991787","1851029.14739",2.5
"956583.991787","1850779.14739",0.45
"956583.991787","1851029.14739",2.35
"956633.991787","1851079.14739",5.06
"956733.991787","1851129.14739",0.98
"956783.991787","1851129.14739",1.01
"956783.991787","1851179.14739",10.11
"956783.991787","1851229.14739",7.62
"956833.991787","1851179.14739",1.14
"956833.991787","1851229.14739",4.53
"956833.991787","1851279.14739",12.07
"956833.991787","1851379.14739",1.41
"956883.991787","1851229.14739",8.47
"956883.991787","1851279.14739",71.34
"956883.991787","1851329.14739",13.39
"956883.991787","1851379.14739",66.71
"956883.991787","1851429.14739",10.46
"956933.991787","1851379.14739",83.51
"956933.991787","1851429.14739",73.75
"956983.991787","1851429.14739",81.43
"956983.991787","1851529.14739",139.54
"956983.991787","1851629.14739",88.5
"957033.991787","1851429.14739",78.13
"957033.991787","1851479.14739",21.09
"957033.991787","1851629.14739",23.74
"957083.991787","1851429.14739",21.09
"957083.991787","1851479.14739",21.09
"957083.991787","1851529.14739",21.09
"957083.991787","1851729.14739",23.74
"957133.991787","1851529.14739",23.74
"957133.991787","1851579.14739",247.23
"957133.991787","1851629.14739",88.5
"957133.991787","1851679.14739",88.5
"957133.991787","1851729.14739",88.5
"957133.991787","1851779.14739",88.5
"957183.991787","1851479.14739",21.09
"957183.991787","1851679.14739",88.5
"957183.991787","1851729.14739",252.79
"957183.991787","1851779.14739",30.49
"957233.991787","1851629.14739",88.5
"957233.991787","1851679.14739",23.74
"957233.991787","1851729.14739",23.74
"957233.991787","1851779.14739",29.25
"957233.991787","1851829.14739",2.59
"957233.991787","1851879.14739",2.59
"957283.991787","1851779.14739",29.25
"957283.991787","1851829.14739",29.25
"957283.991787","1851879.14739",2.49
"957283.991787","1851929.14739",2.41
"957283.991787","1852029.14739",9.49
"957283.991787","1852179.14739",2.74
"957283.991787","1852229.14739",0.14
"957333.991787","1851779.14739",2.59
"957333.991787","1851929.14739",10.25
"957333.991787","1851979.14739",10.01
"957333.991787","1852029.14739",9.2
"957333.991787","1852079.14739",2.28
"957333.991787","1852129.14739",0.77
"957333.991787","1852179.14739",10.8
"957333.991787","1852229.14739",10.99
"957383.991787","1851979.14739",2.36
"957383.991787","1852029.14739",20
"957383.991787","1852079.14739",26.49
"957383.991787","1852179.14739",10.13
"957383.991787","1852229.14739",11.64
"957433.991787","1852079.14739",31.15
"957433.991787","1852129.14739",22.86
"957433.991787","1852179.14739",0.83
"957483.991787","1852129.14739",0.15
"957483.991787","1852179.14739",1.21
"957533.991787","1852179.14739",0.38
"957533.991787","1852229.14739",0.72
"957533.991787","1852279.14739",1.89
"957583.991787","1852279.14739",40.48
"957583.991787","1852329.14739",21.33
"957583.991787","1852379.14739",32.95
"957633.991787","1852329.14739",2.39
"957633.991787","1852379.14739",32.95
"957633.991787","1852429.14739",4.44
"957633.991787","1852529.14739",0.88
"957683.991787","1852329.14739",1.54
"957683.991787","1852429.14739",11.06
"957683.991787","1852479.14739",11.84
"957683.991787","1852529.14739",2.64
"957683.991787","1852579.14739",3.42
"957733.991787","1852379.14739",1.05
"957733.991787","1852479.14739",3.2
"957733.991787","1852529.14739",11.31
"957733.991787","1852579.14739",0.74
"957733.991787","1852729.14739",1.05
"957783.991787","1852379.14739",0.74
"957783.991787","1852429.14739",0.83
"957783.991787","1852479.14739",2.39
"957783.991787","1852529.14739",15.94
"957783.991787","1852579.14739",15.94
"957783.991787","1852629.14739",1.1
"957783.991787","1852679.14739",2.76
"957833.991787","1852529.14739",0.27
"957833.991787","1852579.14739",1.35
"957833.991787","1852629.14739",1.51
"957833.991787","1852679.14739",20.1
"957833.991787","1852729.14739",1.01
"957833.991787","1852779.14739",0.2
"957833.991787","1853179.14739",27.04
"957883.991787","1852479.14739",0.38
"957883.991787","1852729.14739",1
"957883.991787","1852779.14739",3.65
"957883.991787","1852829.14739",0.92
"957883.991787","1853079.14739",27.06
"957883.991787","1853129.14739",116.11
"957933.991787","1852779.14739",1.76
"957933.991787","1852829.14739",0.89
"957933.991787","1852879.14739",0.19
"957933.991787","1853079.14739",116.23
"957933.991787","1854379.14739",0
"957983.991787","1852779.14739",0.17
"957983.991787","1852829.14739",0.18
"957983.991787","1852879.14739",0.95
"957983.991787","1852929.14739",4.2
"957983.991787","1853029.14739",0.19
"957983.991787","1853079.14739",13.72
"958033.991787","1852879.14739",1.13
"958033.991787","1852929.14739",11.46
"958033.991787","1853029.14739",5.96
"958083.991787","1852429.14739",0.13
"958083.991787","1852879.14739",5.92
"958083.991787","1852929.14739",5.92
"958083.991787","1852979.14739",5.96
"958083.991787","1853229.14739",1.09
"958133.991787","1852879.14739",5.92
"958133.991787","1852929.14739",11.46
"958133.991787","1852979.14739",1.58
"958133.991787","1853029.14739",6.83
"958133.991787","1853229.14739",0.41
"958133.991787","1853729.14739",0
"958183.991787","1852879.14739",1.36
"958183.991787","1852929.14739",13.08
"958183.991787","1852979.14739",13.12
"958183.991787","1853029.14739",7.66
"958183.991787","1853229.14739",4.72
"958183.991787","1853279.14739",0.47
"958183.991787","1853329.14739",0.44
"958183.991787","1853729.14739",0.03
"958233.991787","1852879.14739",1.33
"958233.991787","1852929.14739",1.57
"958233.991787","1852979.14739",13.02
"958233.991787","1853029.14739",14.7
"958233.991787","1853079.14739",7.62
"958233.991787","1853129.14739",1.72
"958233.991787","1853179.14739",8.67
"958233.991787","1853229.14739",4.78
"958233.991787","1853279.14739",0.47
"958233.991787","1853329.14739",2.11
"958233.991787","1853529.14739",0
"958233.991787","1853629.14739",0.21
"958233.991787","1853729.14739",0.06
"958283.991787","1852929.14739",6.63
"958283.991787","1852979.14739",6.63
"958283.991787","1853029.14739",19.25
"958283.991787","1853079.14739",8.58
"958283.991787","1853129.14739",4.53
"958283.991787","1853179.14739",11.41
"958283.991787","1853229.14739",2.89
"958283.991787","1853279.14739",8.44
"958283.991787","1853379.14739",0.11
"958283.991787","1853429.14739",0.89
"958283.991787","1853479.14739",0.93
"958283.991787","1853529.14739",0
"958333.991787","1852979.14739",8.36
"958333.991787","1853029.14739",2.34
"958333.991787","1853079.14739",1.36
"958333.991787","1853229.14739",22.61
"958333.991787","1853279.14739",0.49
"958333.991787","1853479.14739",0.64
"958333.991787","1853529.14739",0.11
"958333.991787","1853579.14739",0.46
"958383.991787","1852979.14739",3.83
"958383.991787","1853129.14739",7.66
"958383.991787","1853179.14739",7.66
"958383.991787","1853229.14739",15.88
"958383.991787","1853529.14739",0.11
"958383.991787","1853829.14739",0
"958433.991787","1852979.14739",99.33
"958433.991787","1853079.14739",62.46
"958433.991787","1853129.14739",22.29
"958483.991787","1852979.14739",61.48
"958483.991787","1853029.14739",61.48
"958483.991787","1853079.14739",212.81
"958483.991787","1853129.14739",191.58
"958483.991787","1853729.14739",0
"958483.991787","1853779.14739",0
"958533.991787","1852879.14739",14.27
"958533.991787","1852979.14739",62.39
"958533.991787","1853029.14739",194.02
"958533.991787","1853079.14739",156.79
"958533.991787","1853129.14739",14.29
"958533.991787","1853729.14739",0
"958583.991787","1851179.14739",0.01
"958583.991787","1851279.14739",0.02
"958583.991787","1852979.14739",127.33
"958583.991787","1853029.14739",108
"958583.991787","1853079.14739",215.71
"958633.991787","1851179.14739",0.01
"958633.991787","1852979.14739",125.69
"958633.991787","1853029.14739",106.58
